parameters PADDING 96, 
0 0 0.508541000
1 0 0.498891000
2 0 0.488990000
3 0 0.478962000
4 0 0.468931000
5 0 0.458898000
6 0 0.448833000
7 0 0.438811000
8 0 0.428759000
9 0 0.418736000
10 0 0.408714000
11 0 0.398743000
12 0 0.388820000
13 0 0.378801000
14 0 0.368740000
15 0 0.358706000
16 0 0.348673000
17 0 0.353258000
18 0 0.353084000
19 0 0.352765000
20 0 0.353058000
21 0 0.354713000
22 0 0.350417000
23 0 0.350301000
24 0 0.348116000
25 0 0.348919000
26 0 0.355733000
27 0 0.345954000
28 0 0.353503000
29 0 0.353697000
30 0 0.352028000
31 0 0.349761000
32 0 0.352902000
33 0 0.345675000
34 0 0.345541000
35 0 0.352581000
36 0 0.342675000
37 0 0.338098000
38 0 0.348038000
39 0 0.426152000
40 0 0.416169000
41 0 0.406141000
42 0 0.396142000
43 0 0.386158000
44 0 0.376146000
45 0 0.366134000
46 0 0.356123000
47 0 0.346120000
48 0 0.346432000
49 0 0.336481000
50 0 0.337005000
51 0 0.337008000
52 0 0.344098000
53 0 0.345618000
54 0 0.337428000
55 0 0.334349000
56 0 0.334128000
57 0 0.352549000
58 0 0.344758000
59 0 0.336481000
60 0 0.337566000
61 0 0.335732000
62 0 0.333335000
63 0 0.336093000
64 0 0.333271000
65 0 0.336832000
66 0 0.338653000
67 0 0.341361000
68 0 0.337165000
69 0 0.348016000
70 0 0.339945000
71 0 0.337868000
72 0 0.341583000
73 0 0.340593000
74 0 0.341130000
75 0 0.350460000
76 0 0.343644000
77 0 0.344782000
78 0 0.343705000
79 0 0.343629000
80 0 0.340650000
81 0 0.339180000
82 0 0.341117000
83 0 0.342065000
84 0 0.339888000
85 0 0.335724000
86 0 0.335438000
87 0 0.331250000
88 0 0.335723000
89 0 0.329911000
90 0 0.328773000
91 0 0.328526000
92 0 0.328510000
93 0 0.329319000
94 0 0.339192000
95 0 0.342148000
96 0 0.332159000
97 0 0.327684000
98 0 0.329614000
99 0 0.328312000
100 0 0.330120000
101 0 0.329048000
102 0 0.328874000
103 0 0.325706000
104 0 0.326542000
105 0 0.329518000
106 0 0.325960000
107 0 0.323072000
108 0 0.329041000
109 0 0.335699000
110 0 0.331557000
111 0 0.333600000
112 0 0.345848000
113 0 0.341251000
114 0 0.338973000
115 0 0.338279000
116 0 0.340641000
117 0 0.343470000
118 0 0.344394000
119 0 0.346236000
120 0 0.351041000
121 0 0.349146000
122 0 0.349775000
123 0 0.351247000
124 0 0.347380000
125 0 0.347582000
126 0 0.350037000
127 0 0.346841000
128 0 0.343800000
129 0 0.338418000
130 0 0.336991000
131 0 0.336257000
132 0 0.337149000
133 0 0.338014000
134 0 0.335733000
135 0 0.334583000
136 0 0.330390000
137 0 0.329757000
138 0 0.330129000
139 0 0.327695000
140 0 0.325743000
141 0 0.324615000
142 0 0.328559000
143 0 0.326280000
144 0 0.327084000
145 0 0.326089000
146 0 0.325790000
147 0 0.327631000
148 0 0.328427000
149 0 0.325260000
150 0 0.324107000
151 0 0.323018000
152 0 0.335752000
153 0 0.328956000
154 0 0.322383000
155 0 0.330663000
156 0 0.341168000
157 0 0.331165000
158 0 0.325647000
159 0 0.336216000
160 0 0.326314000
161 0 0.329925000
162 0 0.329414000
163 0 0.322444000
164 0 0.330593000
165 0 0.323521000
166 0 0.333236000
167 0 0.333426000
168 0 0.339355000
169 0 0.339671000
170 0 0.335545000
171 0 0.342367000
172 0 0.342156000
173 0 0.339963000
174 0 0.339179000
175 0 0.338637000
176 0 0.344384000
177 0 0.338013000
178 0 0.337055000
179 0 0.334870000
180 0 0.341348000
181 0 0.331399000
182 0 0.329839000
183 0 0.329299000
184 0 0.329324000
185 0 0.326154000
186 0 0.326159000
187 0 0.334164000
188 0 0.337285000
189 0 0.330489000
190 0 0.335377000
191 0 0.335176000
192 0 0.334072000
193 0 0.332940000
194 0 0.334157000
195 0 0.346890000
196 0 0.341585000
197 0 0.334386000
198 0 0.336108000
199 0 0.333075000
200 0 0.331928000
201 0 0.331759000
202 0 0.330664000
203 0 0.326489000
204 0 0.328298000
205 0 0.339167000
206 0 0.329194000
207 0 0.338777000
208 0 0.331391000
209 0 0.332462000
210 0 0.336389000
211 0 0.338266000
212 0 0.336495000
213 0 0.336949000
214 0 0.346450000
215 0 0.340077000
216 0 0.360312000
217 0 0.360260000
218 0 0.350199000
219 0 0.342948000
220 0 0.344909000
221 0 0.348854000
222 0 0.347733000
223 0 0.346494000
224 0 0.349708000
225 0 0.353139000
226 0 0.345948000
227 0 0.346959000
228 0 0.344628000
229 0 0.347232000
230 0 0.340892000
231 0 0.343619000
232 0 0.341059000
233 0 0.339978000
234 0 0.340594000
235 0 0.346887000
236 0 0.337733000
237 0 0.342503000
238 0 0.343457000
239 0 0.334128000
240 0 0.333710000
241 0 0.333334000
242 0 0.335786000
243 0 0.328232000
244 0 0.327049000
245 0 0.332884000
246 0 0.332730000
247 0 0.336772000
248 0 0.326738000
249 0 0.328270000
250 0 0.336244000
251 0 0.335969000
252 0 0.335792000
253 0 0.334618000
254 0 0.344596000
255 0 0.341309000
256 0 0.346314000
257 0 0.336315000
258 0 0.339811000
259 0 0.330911000
260 0 0.339461000
261 0 0.341266000
262 0 0.337491000
263 0 0.336886000
264 0 0.337692000
265 0 0.342532000
266 0 0.339365000
267 0 0.341997000
268 0 0.338005000
269 0 0.339814000
270 0 0.350805000
271 0 0.347639000
272 0 0.347373000
273 0 0.349153000
274 0 0.355692000
275 0 0.347776000
276 0 0.347600000
277 0 0.349654000
278 0 0.347223000
279 0 0.344045000
282 0 0.319532000
280 0 0.341910000
283 0 0.318837000
281 0 0.342707000
284 0 0.319367000
285 0 0.319056000
286 0 0.318942000
287 0 0.322092000
288 0 0.319506000
289 0 0.318716000
290 0 0.319248000
291 0 0.329112000
292 0 0.319235000
293 0 0.321779000
294 0 0.319467000
295 0 0.318282000
296 0 0.319155000
297 0 0.328958000
298 0 0.327743000
299 0 0.333627000
300 0 0.324909000
301 0 0.326719000
302 0 0.327677000
303 0 0.318955000
304 0 0.319820000
305 0 0.326657000
306 0 0.327499000
307 0 0.328183000
308 0 0.320501000
309 0 0.318510000
310 0 0.326827000
311 0 0.326619000
312 0 0.321441000
313 0 0.319376000
314 0 0.320310000
315 0 0.318882000
316 0 0.320141000
317 0 0.320544000
318 0 0.321343000
319 0 0.319205000
320 0 0.323089000
321 0 0.318857000
322 0 0.318691000
323 0 0.319523000
324 0 0.320444000
325 0 0.321154000
326 0 0.319939000
327 0 0.322886000
328 0 0.320572000
329 0 0.320453000
330 0 0.324316000
331 0 0.319191000
332 0 0.318893000
333 0 0.318598000
334 0 0.327549000
335 0 0.329357000
336 0 0.320454000
337 0 0.327999000
338 0 0.320773000
339 0 0.400113000
340 0 0.390110000
341 0 0.380167000
342 0 0.370138000
343 0 0.360114000
344 0 0.350050000
345 0 0.340035000
346 0 0.330018000
347 0 0.323334000
348 0 0.320106000
349 0 0.318915000
350 0 0.318787000
351 0 0.327614000
352 0 0.318834000
353 0 0.318337000
354 0 0.318197000
355 0 0.320007000
356 0 0.324829000
357 0 0.323671000
358 0 0.323466000
359 0 0.327111000
360 0 0.320160000
361 0 0.319040000
362 0 0.319871000
363 0 0.320675000
364 0 0.322573000
365 0 0.320363000
366 0 0.329253000
367 0 0.319282000
368 0 0.319748000
369 0 0.318619000
370 0 0.322468000
371 0 0.319270000
372 0 0.319151000
373 0 0.327915000
374 0 0.321696000
375 0 0.318530000
376 0 0.323327000
377 0 0.318176000
378 0 0.328009000
379 0 0.335035000
380 0 0.325065000
381 0 0.319587000
382 0 0.327443000
383 0 0.327266000
384 0 0.320075000
385 0 0.327957000
386 0 0.328762000
387 0 0.320560000
388 0 0.318379000
389 0 0.320250000
390 0 0.319117000
391 0 0.318911000
392 0 0.318734000
393 0 0.318561000
394 0 0.327357000
395 0 0.324353000
396 0 0.324005000
397 0 0.331825000
398 0 0.323745000
399 0 0.320489000
400 0 0.318331000
401 0 0.319162000
402 0 0.321974000
403 0 0.326772000
404 0 0.318568000
405 0 0.320066000
406 0 0.320263000
407 0 0.327087000
408 0 0.406805000
409 0 0.396844000
410 0 0.386846000
411 0 0.376814000
412 0 0.366782000
413 0 0.356749000
414 0 0.346692000
415 0 0.336660000
416 0 0.326638000
417 0 0.319319000
418 0 0.320171000
419 0 0.320050000
420 0 0.318929000
421 0 0.319913000
422 0 0.318670000
423 0 0.319539000
424 0 0.319431000
425 0 0.321337000
426 0 0.322206000
427 0 0.318789000
428 0 0.318919000
429 0 0.318613000
430 0 0.319595000
431 0 0.319449000
432 0 0.319298000
433 0 0.319122000
434 0 0.318975000
435 0 0.318799000
436 0 0.320666000
437 0 0.319480000
438 0 0.319324000
439 0 0.318569000
440 0 0.320991000
441 0 0.320864000
442 0 0.320690000
443 0 0.318502000
444 0 0.321315000
445 0 0.332156000
446 0 0.324017000
447 0 0.318866000
448 0 0.329734000
449 0 0.323524000
450 0 0.320520000
451 0 0.321660000
452 0 0.325089000
453 0 0.321924000
454 0 0.326788000
455 0 0.322654000
456 0 0.319490000
457 0 0.319323000
458 0 0.319201000
459 0 0.318502000
460 0 0.325907000
461 0 0.319734000
462 0 0.318618000
463 0 0.318571000
464 0 0.319260000
465 0 0.323083000
466 0 0.319895000
467 0 0.318716000
468 0 0.319540000
469 0 0.318358000
470 0 0.319161000
471 0 0.327956000
472 0 0.329774000
473 0 0.319772000
474 0 0.327441000
475 0 0.330257000
476 0 0.322032000
477 0 0.318898000
478 0 0.333943000
479 0 0.324038000
480 0 0.327554000
481 0 0.320332000
482 0 0.320202000
483 0 0.321064000
484 0 0.319854000
485 0 0.319707000
486 0 0.406848000
487 0 0.396852000
488 0 0.386834000
489 0 0.376832000
490 0 0.366801000
491 0 0.356766000
492 0 0.346702000
493 0 0.336672000
494 0 0.326636000
495 0 0.318921000
496 0 0.319884000
497 0 0.319557000
498 0 0.318375000
499 0 0.317984000
500 0 0.320037000
501 0 0.320865000
502 0 0.318674000
503 0 0.320605000
504 0 0.320400000
505 0 0.327121000
506 0 0.318928000
507 0 0.319762000
508 0 0.327760000
509 0 0.317847000
510 0 0.318345000
511 0 0.319150000
512 0 0.335190000
513 0 0.325188000
514 0 0.327912000
515 0 0.321430000
516 0 0.320371000
517 0 0.318174000
518 0 0.326881000
519 0 0.318831000
520 0 0.322716000
521 0 0.330761000
522 0 0.323535000
523 0 0.321041000
524 0 0.325018000
525 0 0.317826000
526 0 0.325715000
527 0 0.317512000
528 0 0.318249000
529 0 0.409563000
530 0 0.399561000
531 0 0.389530000
532 0 0.379507000
533 0 0.369475000
534 0 0.359442000
535 0 0.349440000
536 0 0.339408000
537 0 0.329375000
538 0 0.319335000
539 0 0.318394000
540 0 0.327100000
541 0 0.327973000
542 0 0.320746000
543 0 0.327617000
544 0 0.326436000
545 0 0.321222000
546 0 0.320040000
547 0 0.319305000
548 0 0.318795000
549 0 0.326623000
550 0 0.319430000
551 0 0.318246000
552 0 0.318865000
553 0 0.319880000
554 0 0.334811000
555 0 0.324818000
556 0 0.318323000
557 0 0.319205000
558 0 0.320006000
559 0 0.318302000
560 0 0.326739000
561 0 0.318702000
562 0 0.318528000
563 0 0.318355000
564 0 0.324159000
565 0 0.318043000
566 0 0.317807000
567 0 0.318609000
568 0 0.318314000
569 0 0.328120000
570 0 0.320959000
571 0 0.318188000
572 0 0.318895000
573 0 0.325464000
574 0 0.322299000
575 0 0.319284000
576 0 0.318923000
577 0 0.325949000
578 0 0.319636000
579 0 0.319512000
580 0 0.319368000
581 0 0.321212000
582 0 0.320027000
583 0 0.319853000
584 0 0.318822000
585 0 0.320479000
586 0 0.334436000
587 0 0.324435000
588 0 0.318982000
589 0 0.318817000
590 0 0.327647000
591 0 0.323474000
592 0 0.319269000
593 0 0.328100000
594 0 0.330028000
595 0 0.320027000
596 0 0.318538000
597 0 0.327333000
598 0 0.320058000
599 0 0.320990000
600 0 0.326852000
601 0 0.318624000
602 0 0.318480000
603 0 0.327278000
604 0 0.327101000
605 0 0.335043000
606 0 0.325044000
607 0 0.327542000
608 0 0.319375000
609 0 0.319781000
610 0 0.319183000
611 0 0.318916000
612 0 0.318678000
613 0 0.333488000
614 0 0.327311000
615 0 0.321124000
616 0 0.319939000
617 0 0.324764000
618 0 0.319673000
619 0 0.320503000
620 0 0.325492000
621 0 0.320204000
622 0 0.318477000
623 0 0.333899000
624 0 0.326715000
625 0 0.319519000
626 0 0.321325000
627 0 0.320253000
628 0 0.318205000
629 0 0.321937000
630 0 0.331802000
631 0 0.327604000
632 0 0.319405000
633 0 0.323166000
634 0 0.326041000
635 0 0.318887000
636 0 0.331708000
637 0 0.326498000
638 0 0.319334000
639 0 0.331154000
640 0 0.326948000
641 0 0.318806000
642 0 0.329615000
643 0 0.326415000
644 0 0.330239000
645 0 0.320235000
646 0 0.319921000
647 0 0.319165000
648 0 0.320632000
649 0 0.319480000
650 0 0.320495000
651 0 0.319157000
652 0 0.320261000
653 0 0.318983000
654 0 0.318686000
655 0 0.319518000
656 0 0.319545000
657 0 0.319550000
658 0 0.319282000
659 0 0.324224000
660 0 0.319847000
661 0 0.318827000
662 0 0.319510000
663 0 0.320321000
664 0 0.321148000
665 0 0.327047000
666 0 0.319762000
667 0 0.326639000
668 0 0.319260000
669 0 0.319302000
670 0 0.319171000
671 0 0.318423000
672 0 0.318437000
673 0 0.320675000
674 0 0.329472000
675 0 0.323320000
676 0 0.319155000
677 0 0.330001000
678 0 0.328848000
679 0 0.332703000
680 0 0.322701000
681 0 0.319332000
682 0 0.321134000
683 0 0.323951000
684 0 0.318772000
685 0 0.318596000
686 0 0.319450000
687 0 0.327341000
688 0 0.327103000
689 0 0.327929000
690 0 0.327150000
691 0 0.322603000
692 0 0.326427000
693 0 0.323235000
694 0 0.319062000
695 0 0.326880000
696 0 0.318760000
697 0 0.319285000
698 0 0.322409000
699 0 0.322384000
700 0 0.320655000
701 0 0.318904000
702 0 0.326734000
703 0 0.334556000
704 0 0.324556000
705 0 0.323149000
706 0 0.318999000
707 0 0.318877000
708 0 0.318705000
709 0 0.326674000
710 0 0.319327000
711 0 0.327025000
712 0 0.327982000
713 0 0.331805000
714 0 0.325744000
715 0 0.327587000
716 0 0.320266000
717 0 0.320148000
718 0 0.319009000
719 0 0.327874000
720 0 0.320686000
721 0 0.328516000
722 0 0.325330000
723 0 0.324147000
724 0 0.320951000
725 0 0.326798000
726 0 0.326592000
727 0 0.319469000
728 0 0.318287000
729 0 0.320131000
730 0 0.321272000
731 0 0.319752000
732 0 0.320557000
733 0 0.326394000
734 0 0.321211000
735 0 0.320031000
736 0 0.320477000
737 0 0.319204000
738 0 0.319374000
739 0 0.321150000
740 0 0.320118000
741 0 0.318873000
742 0 0.323000000
743 0 0.325113000
744 0 0.318959000
745 0 0.328367000
746 0 0.331380000
747 0 0.327024000
748 0 0.318851000
749 0 0.319680000
750 0 0.321491000
751 0 0.318304000
752 0 0.322129000
753 0 0.318933000
754 0 0.320744000
755 0 0.318563000
756 0 0.328495000
757 0 0.320261000
758 0 0.320116000
759 0 0.323175000
760 0 0.326784000
761 0 0.319558000
762 0 0.327376000
763 0 0.323203000
764 0 0.320003000
765 0 0.321127000
766 0 0.319794000
767 0 0.318947000
768 0 0.320546000
769 0 0.320219000
770 0 0.319048000
771 0 0.326839000
772 0 0.319775000
773 0 0.318471000
774 0 0.319425000
775 0 0.319382000
776 0 0.319070000
777 0 0.318680000
778 0 0.319636000
779 0 0.318824000
780 0 0.319209000
781 0 0.321481000
782 0 0.328016000
783 0 0.321830000
784 0 0.324525000
785 0 0.320370000
786 0 0.320835000
787 0 0.322982000
788 0 0.326803000
789 0 0.328667000
790 0 0.323425000
791 0 0.319252000
792 0 0.327501000
793 0 0.318294000
794 0 0.319737000
795 0 0.319530000
796 0 0.328392000
797 0 0.323668000
798 0 0.319040000
799 0 0.327870000
800 0 0.327663000
801 0 0.327486000
802 0 0.327310000
803 0 0.320125000
804 0 0.319957000
805 0 0.318772000
806 0 0.325615000
807 0 0.322450000
808 0 0.319262000
809 0 0.318079000
810 0 0.319396000
811 0 0.326728000
812 0 0.325632000
813 0 0.319356000
814 0 0.327178000
815 0 0.319028000
816 0 0.318883000
817 0 0.326734000
818 0 0.320516000
819 0 0.318031000
820 0 0.320173000
821 0 0.318996000
822 0 0.323980000
823 0 0.320630000
824 0 0.319459000
825 0 0.319252000
826 0 0.319075000
827 0 0.326894000
828 0 0.327293000
829 0 0.323519000
830 0 0.322304000
831 0 0.318187000
832 0 0.321074000
833 0 0.318852000
834 0 0.318648000
835 0 0.319963000
836 0 0.319384000
837 0 0.323206000
838 0 0.319035000
839 0 0.318831000
840 0 0.319693000
841 0 0.318553000
842 0 0.318774000
843 0 0.318630000
844 0 0.319065000
845 0 0.318917000
846 0 0.318765000
847 0 0.319598000
848 0 0.319449000
849 0 0.319298000
850 0 0.319243000
851 0 0.318974000
852 0 0.328837000
853 0 0.319962000
854 0 0.320330000
855 0 0.328392000
856 0 0.330232000
857 0 0.320266000
858 0 0.326896000
859 0 0.320587000
860 0 0.318529000
861 0 0.336330000
862 0 0.327457000
863 0 0.326857000
864 0 0.318779000
865 0 0.318636000
866 0 0.319479000
867 0 0.318308000
868 0 0.319108000
869 0 0.318902000
870 0 0.326726000
871 0 0.318552000
872 0 0.320390000
873 0 0.320184000
874 0 0.319012000
875 0 0.318838000
876 0 0.318707000
877 0 0.318560000
878 0 0.320369000
879 0 0.319368000
880 0 0.318796000
881 0 0.322812000
882 0 0.319614000
883 0 0.318472000
884 0 0.319323000
885 0 0.319157000
886 0 0.318949000
887 0 0.318773000
888 0 0.318625000
889 0 0.319468000
890 0 0.319322000
891 0 0.324137000
892 0 0.318348000
893 0 0.319761000
894 0 0.318678000
895 0 0.320636000
896 0 0.334497000
897 0 0.324567000
898 0 0.319967000
899 0 0.318788000
900 0 0.318522000
901 0 0.323412000
902 0 0.319210000
903 0 0.319034000
904 0 0.326905000
905 0 0.318788000
906 0 0.318708000
907 0 0.319481000
908 0 0.320288000
909 0 0.319104000
910 0 0.327932000
911 0 0.323760000
912 0 0.319528000
913 0 0.319384000
914 0 0.322198000
915 0 0.319002000
916 0 0.318737000
917 0 0.320648000
918 0 0.319465000
919 0 0.319289000
920 0 0.318075000
921 0 0.324918000
922 0 0.319709000
923 0 0.319042000
924 0 0.319293000
925 0 0.320195000
926 0 0.318496000
927 0 0.319798000
928 0 0.318614000
929 0 0.318450000
930 0 0.319159000
931 0 0.327073000
932 0 0.318901000
933 0 0.319703000
934 0 0.319589000
935 0 0.319444000
936 0 0.319365000
937 0 0.323829000
938 0 0.319902000
939 0 0.321743000
940 0 0.319563000
941 0 0.325367000
942 0 0.403501000
943 0 0.393501000
944 0 0.383465000
945 0 0.373432000
946 0 0.363430000
947 0 0.353394000
948 0 0.343363000
949 0 0.333352000
950 0 0.326767000
951 0 0.324608000
952 0 0.327424000
953 0 0.327222000
954 0 0.319080000
955 0 0.319952000
956 0 0.325729000
957 0 0.319511000
958 0 0.319335000
959 0 0.319161000
960 0 0.318986000
961 0 0.319784000
962 0 0.323607000
963 0 0.321433000
964 0 0.319248000
965 0 0.318460000
966 0 0.319872000
967 0 0.318170000
968 0 0.319491000
969 0 0.319379000
970 0 0.327141000
971 0 0.318942000
972 0 0.320049000
973 0 0.319791000
974 0 0.327428000
975 0 0.319256000
976 0 0.320117000
977 0 0.318939000
978 0 0.318735000
979 0 0.319577000
980 0 0.326392000
981 0 0.320177000
982 0 0.319036000
983 0 0.318913000
984 0 0.318707000
985 0 0.318558000
986 0 0.319391000
987 0 0.319248000
988 0 0.319330000
989 0 0.319925000
990 0 0.325729000
991 0 0.319540000
992 0 0.328764000
993 0 0.320613000
994 0 0.319033000
995 0 0.319865000
996 0 0.319721000
997 0 0.319514000
998 0 0.320356000
999 0 0.320152000
1000 0 0.320982000
1001 0 0.319798000
1002 0 0.318627000
1003 0 0.319477000
1004 0 0.319304000
1005 0 0.319127000
1006 0 0.318922000
1007 0 0.318726000
1008 0 0.318582000
1009 0 0.318380000
1010 0 0.321188000
1011 0 0.319027000
1012 0 0.318365000
1013 0 0.318679000
1014 0 0.319512000
1015 0 0.319337000
1016 0 0.319101000
1017 0 0.319656000
1018 0 0.319815000
1019 0 0.318636000
1020 0 0.319499000
1021 0 0.320362000
1022 0 0.319183000
1023 0 0.319001000
1024 0 0.318836000
1025 0 0.318658000
1026 0 0.318454000
1027 0 0.327306000
1028 0 0.320031000
1029 0 0.320955000
1030 0 0.322764000
1031 0 0.319600000
1032 0 0.392725000
1033 0 0.382773000
1034 0 0.372801000
1035 0 0.362802000
1036 0 0.352800000
1037 0 0.342775000
1038 0 0.332741000
1039 0 0.322737000
1040 0 0.319236000
1041 0 0.320127000
1042 0 0.318913000
1043 0 0.323001000
1044 0 0.317678000
1045 0 0.319512000
1046 0 0.318357000
1047 0 0.320193000
1048 0 0.318034000
1049 0 0.324875000
1050 0 0.320702000
1051 0 0.319579000
1052 0 0.318426000
1053 0 0.318253000
1054 0 0.319096000
1055 0 0.317442000
1056 0 0.318729000
1057 0 0.318555000
1058 0 0.317373000
1059 0 0.326201000
1060 0 0.319065000
1061 0 0.324905000
1062 0 0.320767000
1063 0 0.327549000
1064 0 0.321148000
1065 0 0.318778000
1066 0 0.320053000
1067 0 0.326894000
1068 0 0.319735000
1069 0 0.326549000
1070 0 0.319355000
1071 0 0.319182000
1072 0 0.318913000
1073 0 0.319819000
1074 0 0.318641000
1075 0 0.319509000
1076 0 0.322358000
1077 0 0.318190000
1078 0 0.318014000
1079 0 0.321838000
1080 0 0.317676000
1081 0 0.317469000
1082 0 0.317721000
1083 0 0.319147000
1084 0 0.318048000
1085 0 0.317964000
1086 0 0.317793000
1087 0 0.326619000
1088 0 0.319239000
1089 0 0.321241000
1090 0 0.319972000
1091 0 0.319857000
1092 0 0.320711000
1093 0 0.319552000
1094 0 0.319417000
1095 0 0.320248000
1096 0 0.320078000
1097 0 0.319874000
1098 0 0.318692000
1099 0 0.320500000
1100 0 0.319317000
1101 0 0.319167000
1102 0 0.319009000
1103 0 0.320847000
1104 0 0.322667000
1105 0 0.322349000
1106 0 0.319307000
1107 0 0.319104000
1108 0 0.319946000
1109 0 0.326800000
1110 0 0.317927000
1111 0 0.318424000
1112 0 0.319284000
1113 0 0.319108000
1114 0 0.317905000
1115 0 0.318736000
1116 0 0.318563000
1117 0 0.318368000
1118 0 0.329332000
1119 0 0.319330000
1120 0 0.317844000
1121 0 0.318677000
1122 0 0.318554000
1123 0 0.319486000
1124 0 0.317571000
1125 0 0.317948000
1126 0 0.317882000
1127 0 0.318872000
1128 0 0.317604000
1129 0 0.320433000
1130 0 0.319405000
1131 0 0.318190000
1132 0 0.318122000
1133 0 0.318712000
1134 0 0.318508000
1135 0 0.320336000
1136 0 0.318145000
1137 0 0.319799000
1138 0 0.327771000
1139 0 0.318869000
1140 0 0.329440000
1141 0 0.330254000
1142 0 0.325527000
1143 0 0.318922000
1144 0 0.319840000
1145 0 0.318775000
1146 0 0.324550000
1147 0 0.320330000
1148 0 0.327268000
1149 0 0.320960000
1150 0 0.327804000
1151 0 0.331655000
1152 0 0.321713000
1153 0 0.318363000
1154 0 0.318160000
1155 0 0.319020000
1156 0 0.318818000
1157 0 0.319802000
1158 0 0.322540000
1159 0 0.318339000
1160 0 0.319170000
1161 0 0.319119000
1162 0 0.317785000
1163 0 0.318792000
1164 0 0.318536000
1165 0 0.318513000
1166 0 0.318153000
1167 0 0.317855000
1168 0 0.324788000
1169 0 0.319606000
1170 0 0.329419000
1171 0 0.327265000
1172 0 0.318398000
1173 0 0.318956000
1174 0 0.319024000
1175 0 0.318696000
1176 0 0.329444000
1177 0 0.319775000
1178 0 0.319062000
1179 0 0.318888000
1180 0 0.327714000
1181 0 0.318841000
1182 0 0.327376000
1183 0 0.319422000
1184 0 0.319123000
1185 0 0.319827000
1186 0 0.320638000
1187 0 0.317955000
1188 0 0.332398000
1189 0 0.322391000
1190 0 0.319017000
1191 0 0.326871000
1192 0 0.324710000
1193 0 0.319656000
1194 0 0.326410000
1195 0 0.321234000
1196 0 0.320062000
1197 0 0.318877000
1198 0 0.318671000
1199 0 0.319687000
1200 0 0.319309000
1201 0 0.319548000
1202 0 0.319005000
1203 0 0.318895000
1204 0 0.318689000
1205 0 0.319543000
1206 0 0.318331000
1207 0 0.327191000
1208 0 0.328998000
1209 0 0.320134000
1210 0 0.327649000
1211 0 0.321511000
1212 0 0.327316000
1213 0 0.328150000
1214 0 0.323950000
1215 0 0.319778000
1216 0 0.318606000
1217 0 0.329050000
1218 0 0.320271000
1219 0 0.319056000
1220 0 0.318861000
1221 0 0.331726000
1222 0 0.321756000
1223 0 0.331408000
1224 0 0.321774000
1225 0 0.320892000
1226 0 0.326862000
1228 0 0.320602000
1229 0 0.321405000
1230 0 0.320130000
1231 0 0.320990000
1232 0 0.319687000
1233 0 0.319603000
1234 0 0.319430000
1235 0 0.319254000
1236 0 0.319073000
1237 0 0.327351000
1238 0 0.319881000
1239 0 0.319735000
1240 0 0.319588000
1241 0 0.319439000
1242 0 0.318161000
1243 0 0.319266000
1244 0 0.318964000
1245 0 0.318786000
1246 0 0.318640000
1247 0 0.323375000
1248 0 0.320085000
1249 0 0.319022000
1250 0 0.320841000
1251 0 0.319709000
1252 0 0.320398000
1253 0 0.320263000
1254 0 0.322101000
1255 0 0.319946000
1256 0 0.319773000
1257 0 0.325767000
1258 0 0.320428000
1259 0 0.320374000
1260 0 0.319191000
1261 0 0.321061000
1262 0 0.319325000
1263 0 0.318753000
1264 0 0.327428000
1265 0 0.322369000
1266 0 0.319201000
1267 0 0.327047000
1268 0 0.318816000
1269 0 0.320656000
1270 0 0.318467000
1271 0 0.320354000
1272 0 0.319652000
1273 0 0.326406000
1274 0 0.320828000
1275 0 0.335638000
1276 0 0.325578000
1277 0 0.328274000
1278 0 0.327090000
1279 0 0.327932000
1280 0 0.339809000
1281 0 0.329746000
1282 0 0.319589000
1283 0 0.318223000
1284 0 0.320060000
1285 0 0.326719000
1286 0 0.318670000
1287 0 0.318678000
1288 0 0.326283000
1289 0 0.320095000
1290 0 0.319830000
1291 0 0.319778000
1292 0 0.318566000
1293 0 0.318390000
1294 0 0.320194000
1295 0 0.320020000
1296 0 0.319845000
1297 0 0.319639000
1298 0 0.318467000
1299 0 0.327292000
1300 0 0.322112000
1301 0 0.319925000
1302 0 0.319784000
1303 0 0.332638000
1304 0 0.324344000
1305 0 0.319362000
1306 0 0.319161000
1307 0 0.319994000
1308 0 0.319800000
1309 0 0.319635000
1310 0 0.319509000
1311 0 0.319312000
1312 0 0.330461000
1313 0 0.321367000
1314 0 0.318783000
1315 0 0.320621000
1316 0 0.333427000
1317 0 0.324554000
1318 0 0.319070000
1319 0 0.327898000
1320 0 0.325758000
1321 0 0.327591000
1322 0 0.322421000
1323 0 0.327279000
1324 0 0.319017000
1325 0 0.318845000
1326 0 0.332704000
