parameters PADDING 1, 
0 0 0.323131000
1 0 0.322837000
2 0 0.320645000
3 0 0.318457000
4 0 0.319291000
5 0 0.319088000
6 0 0.317054000
7 0 0.315726000
8 0 0.315560000
9 0 0.316216000
10 0 0.316351000
11 0 0.316056000
12 0 0.316982000
13 0 0.313668000
14 0 0.319596000
15 0 0.317317000
16 0 0.314158000
17 0 0.322597000
18 0 0.330913000
19 0 0.320827000
20 0 0.316420000
21 0 0.317261000
22 0 0.321089000
23 0 0.315767000
24 0 0.322525000
25 0 0.318542000
26 0 0.320229000
27 0 0.320138000
28 0 0.321955000
29 0 0.328678000
30 0 0.326613000
31 0 0.326411000
32 0 0.330233000
33 0 0.329023000
34 0 0.332878000
35 0 0.331700000
36 0 0.333516000
37 0 0.333318000
38 0 0.331140000
39 0 0.330242000
40 0 0.331450000
41 0 0.327621000
42 0 0.326449000
43 0 0.323692000
44 0 0.323188000
45 0 0.323986000
46 0 0.326807000
47 0 0.325625000
48 0 0.322830000
49 0 0.323234000
50 0 0.321233000
51 0 0.320276000
52 0 0.324379000
53 0 0.321524000
54 0 0.318362000
55 0 0.317236000
56 0 0.316074000
57 0 0.314262000
58 0 0.313667000
59 0 0.315999000
60 0 0.314367000
61 0 0.315259000
62 0 0.316123000
63 0 0.324835000
64 0 0.316646000
65 0 0.315514000
66 0 0.313331000
67 0 0.314163000
68 0 0.312840000
69 0 0.314809000
70 0 0.313147000
71 0 0.315761000
72 0 0.316359000
73 0 0.333099000
74 0 0.322940000
75 0 0.319763000
76 0 0.328012000
77 0 0.324570000
78 0 0.325353000
79 0 0.325178000
80 0 0.325890000
81 0 0.328847000
82 0 0.329870000
83 0 0.327500000
84 0 0.333311000
85 0 0.332196000
86 0 0.332031000
87 0 0.331917000
88 0 0.328789000
89 0 0.337503000
90 0 0.331783000
91 0 0.331130000
92 0 0.324955000
93 0 0.325792000
94 0 0.324984000
95 0 0.323886000
96 0 0.323282000
97 0 0.322106000
98 0 0.322939000
99 0 0.321759000
100 0 0.410604000
101 0 0.402529000
102 0 0.392528000
103 0 0.382497000
104 0 0.372435000
105 0 0.362404000
106 0 0.352383000
107 0 0.342333000
108 0 0.332300000
109 0 0.322237000
110 0 0.319755000
111 0 0.321563000
112 0 0.337532000
113 0 0.327530000
114 0 0.321009000
115 0 0.320964000
116 0 0.319666000
117 0 0.320478000
118 0 0.322788000
119 0 0.322530000
120 0 0.321959000
121 0 0.320780000
122 0 0.329705000
123 0 0.323345000
124 0 0.326289000
125 0 0.331976000
126 0 0.333814000
127 0 0.332175000
128 0 0.331847000
129 0 0.331277000
130 0 0.334064000
131 0 0.334837000
132 0 0.335240000
133 0 0.339508000
134 0 0.347180000
135 0 0.337525000
136 0 0.335990000
137 0 0.335822000
138 0 0.331625000
139 0 0.328440000
140 0 0.328270000
141 0 0.338113000
142 0 0.334193000
143 0 0.336747000
144 0 0.333589000
145 0 0.325388000
146 0 0.324210000
147 0 0.323027000
148 0 0.320841000
149 0 0.332662000
150 0 0.325290000
151 0 0.319163000
152 0 0.322103000
153 0 0.316924000
154 0 0.314739000
155 0 0.313803000
156 0 0.313502000
157 0 0.314434000
158 0 0.317141000
159 0 0.317770000
160 0 0.323676000
161 0 0.318008000
162 0 0.321309000
163 0 0.319671000
164 0 0.322041000
165 0 0.320805000
166 0 0.320816000
167 0 0.323240000
168 0 0.321819000
169 0 0.324065000
170 0 0.323658000
171 0 0.330267000
172 0 0.323695000
173 0 0.327953000
174 0 0.324469000
175 0 0.326403000
176 0 0.325110000
177 0 0.327627000
178 0 0.327766000
179 0 0.331692000
180 0 0.327403000
181 0 0.329644000
182 0 0.330052000
183 0 0.331896000
184 0 0.337381000
185 0 0.327389000
186 0 0.329540000
187 0 0.332611000
188 0 0.325014000
189 0 0.323835000
190 0 0.324636000
191 0 0.330444000
192 0 0.326399000
193 0 0.648531000
194 0 0.638610000
195 0 0.628583000
196 0 0.618560000
197 0 0.608538000
198 0 0.598506000
199 0 0.588443000
200 0 0.578398000
201 0 0.568365000
202 0 0.558305000
203 0 0.548276000
204 0 0.538257000
205 0 0.528238000
206 0 0.518209000
207 0 0.508147000
208 0 0.498118000
209 0 0.488054000
210 0 0.478024000
211 0 0.467991000
212 0 0.457933000
213 0 0.447964000
214 0 0.437923000
215 0 0.427869000
216 0 0.417837000
217 0 0.407811000
218 0 0.397782000
219 0 0.387756000
220 0 0.377692000
221 0 0.367661000
222 0 0.357633000
223 0 0.347570000
224 0 0.337723000
225 0 0.328816000
226 0 0.332246000
227 0 0.331709000
228 0 0.330865000
229 0 0.331673000
230 0 0.334826000
231 0 0.330929000
232 0 0.334145000
233 0 0.334949000
234 0 0.332755000
235 0 0.330566000
236 0 0.329003000
237 0 0.333316000
238 0 0.332016000
239 0 0.328792000
240 0 0.329641000
241 0 0.327672000
242 0 0.325241000
243 0 0.323451000
244 0 0.322880000
245 0 0.323685000
246 0 0.323582000
247 0 0.319385000
248 0 0.324218000
249 0 0.317423000
250 0 0.315848000
251 0 0.317688000
252 0 0.315502000
253 0 0.314383000
254 0 0.319069000
255 0 0.318897000
256 0 0.318724000
257 0 0.319509000
258 0 0.319368000
259 0 0.322154000
260 0 0.319995000
261 0 0.328276000
262 0 0.318276000
263 0 0.316457000
264 0 0.317237000
265 0 0.316082000
266 0 0.316886000
267 0 0.318728000
268 0 0.315533000
269 0 0.318354000
270 0 0.316228000
271 0 0.320971000
272 0 0.316495000
273 0 0.316611000
274 0 0.323731000
275 0 0.320599000
276 0 0.321498000
277 0 0.313818000
278 0 0.313771000
279 0 0.313569000
280 0 0.314403000
281 0 0.313832000
282 0 0.314207000
283 0 0.315795000
284 0 0.316844000
285 0 0.315515000
286 0 0.314432000
287 0 0.314197000
288 0 0.314025000
289 0 0.322211000
290 0 0.314042000
291 0 0.318262000
292 0 0.313051000
293 0 0.316128000
294 0 0.313941000
295 0 0.314763000
296 0 0.313585000
297 0 0.314421000
298 0 0.314270000
299 0 0.314069000
300 0 0.313956000
301 0 0.314706000
302 0 0.313516000
303 0 0.313388000
304 0 0.314194000
305 0 0.315024000
306 0 0.314851000
307 0 0.314644000
308 0 0.314622000
309 0 0.314296000
310 0 0.314091000
311 0 0.317919000
312 0 0.313717000
313 0 0.314540000
314 0 0.314363000
315 0 0.314188000
316 0 0.314024000
317 0 0.313823000
318 0 0.314623000
319 0 0.313842000
320 0 0.314252000
321 0 0.317102000
322 0 0.313911000
323 0 0.314736000
324 0 0.313500000
325 0 0.314338000
326 0 0.314167000
327 0 0.313960000
328 0 0.313785000
329 0 0.314559000
330 0 0.314416000
331 0 0.315221000
332 0 0.314041000
333 0 0.313548000
334 0 0.313682000
335 0 0.313478000
336 0 0.313338000
337 0 0.316123000
338 0 0.313932000
339 0 0.313767000
340 0 0.323565000
341 0 0.315367000
342 0 0.314218000
343 0 0.315024000
344 0 0.313866000
345 0 0.313489000
346 0 0.312886000
347 0 0.314116000
348 0 0.312898000
349 0 0.316938000
350 0 0.323753000
351 0 0.314823000
352 0 0.313792000
353 0 0.314198000
354 0 0.316015000
355 0 0.313836000
356 0 0.313088000
357 0 0.314501000
358 0 0.314296000
359 0 0.314156000
360 0 0.332207000
361 0 0.322150000
362 0 0.315594000
363 0 0.313401000
364 0 0.314231000
365 0 0.315030000
366 0 0.313761000
367 0 0.314659000
368 0 0.314494000
369 0 0.314320000
370 0 0.319766000
371 0 0.316607000
372 0 0.313780000
373 0 0.314587000
374 0 0.313410000
375 0 0.314242000
376 0 0.314036000
377 0 0.314169000
378 0 0.314665000
379 0 0.314621000
380 0 0.325315000
381 0 0.318123000
382 0 0.313939000
383 0 0.313770000
384 0 0.314574000
385 0 0.315687000
386 0 0.314234000
387 0 0.321048000
388 0 0.313827000
389 0 0.314689000
390 0 0.316498000
391 0 0.313303000
392 0 0.314129000
393 0 0.313923000
394 0 0.313719000
395 0 0.314371000
396 0 0.313378000
397 0 0.314210000
398 0 0.314007000
399 0 0.313818000
400 0 0.313638000
401 0 0.314442000
402 0 0.316241000
403 0 0.314091000
404 0 0.313890000
405 0 0.313715000
406 0 0.313539000
407 0 0.314344000
408 0 0.314203000
409 0 0.325019000
410 0 0.317825000
411 0 0.313625000
412 0 0.313445000
413 0 0.318310000
414 0 0.315114000
415 0 0.313933000
416 0 0.318798000
417 0 0.317982000
418 0 0.314419000
419 0 0.314187000
420 0 0.314012000
421 0 0.314234000
422 0 0.316645000
423 0 0.314461000
424 0 0.314287000
425 0 0.322116000
426 0 0.313924000
427 0 0.313693000
428 0 0.313641000
429 0 0.324396000
430 0 0.316166000
431 0 0.314006000
432 0 0.317824000
433 0 0.314670000
434 0 0.314474000
435 0 0.313335000
436 0 0.314120000
437 0 0.313957000
438 0 0.313783000
439 0 0.315575000
440 0 0.313392000
441 0 0.314226000
442 0 0.314010000
443 0 0.313846000
444 0 0.314655000
445 0 0.313480000
446 0 0.314277000
447 0 0.314145000
448 0 0.313818000
449 0 0.314774000
450 0 0.314572000
451 0 0.313391000
452 0 0.313219000
453 0 0.314027000
454 0 0.313857000
455 0 0.314695000
456 0 0.313493000
457 0 0.314379000
458 0 0.314207000
459 0 0.315164000
460 0 0.314871000
461 0 0.329834000
462 0 0.321502000
463 0 0.314314000
464 0 0.317170000
465 0 0.322013000
466 0 0.314794000
467 0 0.314620000
468 0 0.313473000
469 0 0.316259000
470 0 0.315093000
471 0 0.313300000
472 0 0.313744000
473 0 0.316572000
474 0 0.313385000
475 0 0.316207000
476 0 0.315005000
477 0 0.314985000
478 0 0.314663000
479 0 0.314494000
480 0 0.316335000
481 0 0.314117000
482 0 0.313949000
483 0 0.313797000
484 0 0.315641000
485 0 0.314495000
486 0 0.313317000
487 0 0.314173000
488 0 0.314022000
489 0 0.313867000
490 0 0.314081000
491 0 0.312981000
492 0 0.313330000
493 0 0.314174000
494 0 0.314007000
495 0 0.314818000
496 0 0.313557000
497 0 0.313473000
498 0 0.314368000
499 0 0.317093000
500 0 0.315912000
501 0 0.313719000
502 0 0.314554000
503 0 0.314357000
504 0 0.313179000
505 0 0.314022000
506 0 0.313827000
507 0 0.314723000
508 0 0.313481000
509 0 0.318194000
510 0 0.314085000
511 0 0.314909000
512 0 0.313728000
513 0 0.313559000
514 0 0.314128000
515 0 0.312591000
516 0 0.313433000
517 0 0.313843000
518 0 0.319746000
519 0 0.313466000
520 0 0.314299000
521 0 0.314412000
522 0 0.313994000
523 0 0.313800000
524 0 0.315608000
525 0 0.313426000
526 0 0.313257000
527 0 0.314086000
528 0 0.323891000
529 0 0.315021000
530 0 0.313539000
531 0 0.313325000
532 0 0.314155000
533 0 0.314057000
534 0 0.315945000
535 0 0.313788000
536 0 0.314606000
537 0 0.313461000
538 0 0.319398000
539 0 0.314159000
540 0 0.313400000
541 0 0.318870000
542 0 0.313802000
543 0 0.316229000
544 0 0.313374000
545 0 0.314186000
546 0 0.313999000
547 0 0.314803000
548 0 0.315641000
549 0 0.313456000
550 0 0.314257000
551 0 0.313069000
552 0 0.313906000
553 0 0.313711000
554 0 0.314545000
555 0 0.313362000
556 0 0.314164000
557 0 0.314122000
558 0 0.314805000
559 0 0.313624000
560 0 0.314458000
561 0 0.313665000
562 0 0.314090000
563 0 0.313897000
564 0 0.315706000
565 0 0.313926000
566 0 0.319336000
567 0 0.313975000
568 0 0.313931000
569 0 0.313761000
570 0 0.313585000
571 0 0.314393000
572 0 0.315320000
573 0 0.314116000
574 0 0.314099000
575 0 0.313773000
576 0 0.313568000
577 0 0.313443000
578 0 0.314610000
579 0 0.313397000
580 0 0.313895000
581 0 0.313659000
582 0 0.313463000
583 0 0.314306000
584 0 0.313521000
585 0 0.314357000
586 0 0.313755000
587 0 0.313554000
588 0 0.314419000
589 0 0.319222000
590 0 0.314200000
591 0 0.313839000
592 0 0.313672000
593 0 0.313508000
594 0 0.315316000
595 0 0.315143000
596 0 0.313963000
597 0 0.317790000
598 0 0.313590000
599 0 0.315403000
600 0 0.314220000
601 0 0.313016000
602 0 0.313855000
603 0 0.314726000
604 0 0.314554000
605 0 0.314379000
606 0 0.314215000
607 0 0.323042000
608 0 0.314843000
609 0 0.314797000
610 0 0.313559000
611 0 0.314307000
612 0 0.314146000
613 0 0.315953000
614 0 0.314774000
615 0 0.313633000
616 0 0.322462000
617 0 0.320729000
618 0 0.314087000
619 0 0.313882000
620 0 0.313618000
621 0 0.313537000
622 0 0.313346000
623 0 0.315175000
624 0 0.318968000
625 0 0.313787000
626 0 0.314622000
627 0 0.320833000
628 0 0.314251000
629 0 0.314109000
630 0 0.313385000
631 0 0.313740000
632 0 0.314580000
633 0 0.314040000
634 0 0.313746000
635 0 0.314032000
636 0 0.313830000
637 0 0.313643000
638 0 0.313469000
639 0 0.314293000
640 0 0.314097000
641 0 0.313895000
642 0 0.313731000
643 0 0.313554000
644 0 0.313383000
645 0 0.314186000
646 0 0.321002000
647 0 0.314817000
648 0 0.313638000
649 0 0.314471000
650 0 0.313304000
651 0 0.315151000
652 0 0.313978000
653 0 0.313780000
654 0 0.313586000
655 0 0.313419000
656 0 0.315388000
657 0 0.314092000
658 0 0.313897000
659 0 0.316116000
660 0 0.314542000
661 0 0.315349000
662 0 0.313218000
663 0 0.313506000
664 0 0.313917000
665 0 0.313821000
666 0 0.313685000
667 0 0.314524000
668 0 0.314382000
669 0 0.313238000
670 0 0.314115000
671 0 0.314851000
672 0 0.313651000
673 0 0.314484000
674 0 0.314283000
675 0 0.314112000
676 0 0.320924000
677 0 0.313733000
678 0 0.314448000
679 0 0.314400000
680 0 0.315196000
681 0 0.314024000
682 0 0.313820000
683 0 0.313618000
684 0 0.313417000
685 0 0.314217000
686 0 0.321095000
687 0 0.313875000
688 0 0.314707000
689 0 0.313529000
690 0 0.315329000
691 0 0.314258000
692 0 0.315119000
693 0 0.313912000
694 0 0.313658000
695 0 0.313473000
696 0 0.320956000
697 0 0.314131000
698 0 0.313958000
699 0 0.314399000
700 0 0.313634000
701 0 0.313480000
702 0 0.314295000
703 0 0.313265000
704 0 0.313947000
705 0 0.314750000
706 0 0.331583000
707 0 0.321586000
708 0 0.322206000
709 0 0.314038000
710 0 0.314858000
711 0 0.313681000
712 0 0.314582000
713 0 0.313766000
714 0 0.314172000
715 0 0.313998000
716 0 0.315808000
717 0 0.313624000
718 0 0.313443000
719 0 0.315342000
720 0 0.314070000
721 0 0.313898000
722 0 0.313757000
723 0 0.313527000
