parameters PADDING 146, 
0 0 0.525050000
1 0 0.515160000
2 0 0.505168000
3 0 0.495162000
4 0 0.485173000
5 0 0.475143000
6 0 0.465152000
7 0 0.455102000
8 0 0.445072000
9 0 0.435042000
10 0 0.425013000
11 0 0.414983000
12 0 0.405009000
13 0 0.394974000
14 0 0.438867000
15 0 0.428875000
16 0 0.418873000
17 0 0.408813000
18 0 0.398809000
19 0 0.388774000
20 0 0.378743000
21 0 0.368712000
22 0 0.358647000
23 0 0.348700000
24 0 0.342695000
25 0 0.340548000
26 0 0.340343000
27 0 0.352161000
28 0 0.349974000
29 0 0.346818000
30 0 0.347758000
31 0 0.353014000
32 0 0.351554000
33 0 0.348146000
34 0 0.348011000
35 0 0.346739000
36 0 0.347417000
37 0 0.345533000
38 0 0.348108000
39 0 0.348084000
40 0 0.344929000
41 0 0.342742000
42 0 0.345501000
43 0 0.344413000
44 0 0.348266000
45 0 0.344520000
46 0 0.350916000
47 0 0.354871000
48 0 0.353567000
49 0 0.361903000
50 0 0.374477000
51 0 0.377198000
52 0 0.382844000
53 0 0.385866000
54 0 0.379645000
55 0 0.374885000
56 0 0.367350000
57 0 0.363143000
58 0 0.361013000
59 0 0.360869000
60 0 0.358188000
61 0 0.356998000
62 0 0.354414000
63 0 0.354692000
64 0 0.356530000
65 0 0.356354000
66 0 0.359779000
67 0 0.354692000
68 0 0.350530000
69 0 0.349348000
70 0 0.346424000
71 0 0.346845000
72 0 0.348802000
73 0 0.345675000
74 0 0.344495000
75 0 0.352198000
76 0 0.349948000
77 0 0.345862000
78 0 0.339126000
79 0 0.337619000
80 0 0.338296000
81 0 0.335129000
82 0 0.338122000
83 0 0.341912000
84 0 0.339632000
85 0 0.338083000
86 0 0.338521000
87 0 0.344085000
88 0 0.339057000
89 0 0.342737000
90 0 0.347810000
91 0 0.342355000
92 0 0.341782000
93 0 0.350120000
94 0 0.340089000
95 0 0.349680000
96 0 0.363512000
97 0 0.353513000
98 0 0.353153000
99 0 0.359937000
100 0 0.356811000
101 0 0.360266000
102 0 0.350840000
103 0 0.362785000
104 0 0.363987000
105 0 0.377942000
106 0 0.369071000
107 0 0.359070000
108 0 0.356023000
109 0 0.360458000
110 0 0.370172000
111 0 0.360218000
112 0 0.350216000
113 0 0.359625000
114 0 0.353724000
115 0 0.350285000
116 0 0.354515000
117 0 0.346309000
118 0 0.346759000
119 0 0.347683000
120 0 0.345523000
121 0 0.344447000
122 0 0.342170000
123 0 0.343127000
124 0 0.342717000
125 0 0.344523000
126 0 0.341441000
127 0 0.340758000
128 0 0.346959000
129 0 0.339775000
130 0 0.351626000
131 0 0.341671000
132 0 0.339264000
133 0 0.348215000
134 0 0.338250000
135 0 0.335267000
136 0 0.338691000
137 0 0.342524000
138 0 0.341340000
139 0 0.343026000
140 0 0.344991000
141 0 0.354613000
142 0 0.348694000
143 0 0.348519000
144 0 0.352255000
145 0 0.358228000
146 0 0.353963000
147 0 0.357478000
148 0 0.358145000
149 0 0.360803000
150 0 0.362124000
151 0 0.365722000
152 0 0.365560000
153 0 0.366390000
154 0 0.377082000
155 0 0.375045000
156 0 0.368716000
157 0 0.367044000
158 0 0.369351000
159 0 0.368657000
160 0 0.365977000
161 0 0.364931000
162 0 0.362775000
163 0 0.362567000
164 0 0.369807000
165 0 0.363156000
166 0 0.359004000
167 0 0.366008000
168 0 0.356034000
169 0 0.353838000
170 0 0.349443000
171 0 0.347362000
172 0 0.354283000
173 0 0.346723000
174 0 0.343914000
175 0 0.341858000
176 0 0.350990000
177 0 0.347240000
178 0 0.348259000
179 0 0.373140000
180 0 0.368988000
181 0 0.361935000
182 0 0.356847000
183 0 0.349648000
184 0 0.354468000
185 0 0.344456000
186 0 0.351206000
187 0 0.344907000
188 0 0.341912000
189 0 0.341754000
190 0 0.342432000
191 0 0.344430000
192 0 0.358218000
193 0 0.351182000
194 0 0.348987000
195 0 0.367085000
196 0 0.361474000
197 0 0.362299000
198 0 0.353388000
199 0 0.354927000
200 0 0.373723000
201 0 0.367703000
202 0 0.362016000
203 0 0.356748000
204 0 0.360198000
205 0 0.357983000
206 0 0.365739000
207 0 0.367271000
208 0 0.358765000
209 0 0.365270000
210 0 0.358154000
211 0 0.360961000
212 0 0.362833000
213 0 0.365736000
214 0 0.355760000
215 0 0.364438000
216 0 0.354438000
217 0 0.351110000
218 0 0.359935000
219 0 0.356853000
220 0 0.349708000
221 0 0.349514000
222 0 0.350465000
223 0 0.354816000
224 0 0.350707000
225 0 0.364786000
226 0 0.358692000
227 0 0.351992000
228 0 0.344894000
229 0 0.347232000
230 0 0.345150000
231 0 0.345738000
232 0 0.344277000
233 0 0.351211000
234 0 0.341912000
235 0 0.349468000
236 0 0.350798000
237 0 0.340979000
238 0 0.346826000
239 0 0.338657000
240 0 0.341368000
241 0 0.342396000
