parameters PADDING 196, 
0 0 0.492191000
1 0 0.482412000
2 0 0.472444000
3 0 0.462442000
4 0 0.452411000
5 0 0.571084000
6 0 0.561219000
7 0 0.551220000
8 0 0.541334000
9 0 0.531300000
10 0 0.521309000
11 0 0.511355000
12 0 0.501315000
13 0 0.491285000
14 0 0.481253000
15 0 0.471192000
16 0 0.461171000
17 0 0.451139000
18 0 0.441107000
19 0 0.431075000
20 0 0.421050000
21 0 0.411046000
22 0 0.412396000
23 0 0.402395000
24 0 0.404139000
25 0 0.404942000
26 0 0.402885000
27 0 0.402617000
28 0 0.409369000
29 0 0.399364000
30 0 0.394933000
31 0 0.392894000
32 0 0.392569000
33 0 0.389616000
34 0 0.387884000
35 0 0.387158000
36 0 0.397845000
37 0 0.391810000
38 0 0.386601000
39 0 0.382700000
40 0 0.381125000
41 0 0.384978000
42 0 0.379765000
43 0 0.377576000
44 0 0.377552000
45 0 0.386451000
46 0 0.378127000
47 0 0.389001000
48 0 0.389813000
49 0 0.380024000
50 0 0.385308000
51 0 0.380160000
52 0 0.395518000
53 0 0.385576000
54 0 0.384612000
55 0 0.389503000
56 0 0.381303000
57 0 0.386957000
58 0 0.384068000
59 0 0.386895000
60 0 0.397757000
61 0 0.391877000
62 0 0.396465000
63 0 0.394216000
64 0 0.403212000
65 0 0.396846000
66 0 0.402680000
67 0 0.411628000
68 0 0.401624000
69 0 0.399169000
70 0 0.406472000
71 0 0.403915000
72 0 0.398640000
73 0 0.398554000
74 0 0.397374000
75 0 0.402182000
83 0 0.323709000
76 0 0.397867000
77 0 0.392958000
84 0 0.324449000
78 0 0.393668000
85 0 0.325223000
79 0 0.390715000
86 0 0.323066000
80 0 0.389177000
87 0 0.323012000
81 0 0.386804000
88 0 0.321274000
82 0 0.385927000
89 0 0.331662000
90 0 0.322849000
91 0 0.320754000
92 0 0.326195000
93 0 0.320995000
94 0 0.321764000
95 0 0.321531000
96 0 0.321997000
97 0 0.321275000
98 0 0.330956000
99 0 0.324001000
100 0 0.322766000
101 0 0.320573000
102 0 0.321322000
103 0 0.321127000
104 0 0.320955000
105 0 0.321753000
106 0 0.320572000
107 0 0.320791000
108 0 0.323209000
109 0 0.322707000
110 0 0.320898000
111 0 0.321759000
112 0 0.324980000
113 0 0.321418000
114 0 0.321254000
115 0 0.321107000
116 0 0.329914000
117 0 0.330419000
118 0 0.323559000
119 0 0.329541000
120 0 0.329366000
121 0 0.329040000
122 0 0.322609000
123 0 0.328815000
124 0 0.321661000
125 0 0.329321000
126 0 0.330090000
127 0 0.324940000
128 0 0.321898000
129 0 0.329741000
130 0 0.321536000
131 0 0.329111000
132 0 0.322081000
133 0 0.321536000
134 0 0.321878000
135 0 0.329526000
136 0 0.322359000
137 0 0.322241000
138 0 0.323011000
139 0 0.321831000
140 0 0.321657000
141 0 0.331594000
142 0 0.323421000
143 0 0.321078000
144 0 0.321217000
145 0 0.320709000
146 0 0.326698000
147 0 0.321364000
148 0 0.322321000
149 0 0.321188000
150 0 0.322057000
151 0 0.327769000
152 0 0.321615000
153 0 0.321413000
154 0 0.328381000
155 0 0.323170000
156 0 0.328010000
157 0 0.320234000
158 0 0.320792000
159 0 0.320462000
160 0 0.326667000
161 0 0.327541000
162 0 0.324881000
163 0 0.319795000
164 0 0.319629000
165 0 0.320459000
166 0 0.320252000
167 0 0.320199000
168 0 0.325893000
169 0 0.322695000
170 0 0.322427000
171 0 0.327348000
172 0 0.320164000
173 0 0.319958000
174 0 0.331783000
175 0 0.322907000
176 0 0.321491000
177 0 0.320302000
178 0 0.320164000
179 0 0.321332000
180 0 0.337759000
181 0 0.327784000
182 0 0.330386000
183 0 0.321510000
184 0 0.320085000
185 0 0.326508000
186 0 0.322742000
187 0 0.320588000
188 0 0.320477000
189 0 0.320287000
190 0 0.320078000
191 0 0.321918000
192 0 0.330990000
193 0 0.326937000
194 0 0.321658000
195 0 0.319590000
196 0 0.321825000
197 0 0.320215000
198 0 0.321627000
199 0 0.320390000
200 0 0.320243000
201 0 0.320067000
202 0 0.320901000
203 0 0.332722000
204 0 0.322750000
205 0 0.321355000
206 0 0.319744000
207 0 0.319975000
208 0 0.319797000
209 0 0.336637000
210 0 0.326666000
211 0 0.326697000
212 0 0.320508000
213 0 0.321309000
214 0 0.330756000
215 0 0.327590000
216 0 0.329274000
217 0 0.323209000
218 0 0.329011000
219 0 0.326727000
220 0 0.321448000
221 0 0.320112000
222 0 0.321436000
223 0 0.321229000
224 0 0.330030000
225 0 0.322893000
226 0 0.320407000
227 0 0.322732000
228 0 0.320331000
229 0 0.321011000
230 0 0.326057000
231 0 0.332538000
232 0 0.322572000
233 0 0.337013000
234 0 0.327014000
235 0 0.319613000
236 0 0.320846000
237 0 0.319754000
238 0 0.320475000
239 0 0.320331000
240 0 0.325407000
241 0 0.320325000
242 0 0.328941000
243 0 0.320872000
244 0 0.319821000
245 0 0.321500000
246 0 0.320315000
247 0 0.320699000
248 0 0.323025000
249 0 0.320860000
250 0 0.322547000
251 0 0.320480000
252 0 0.320437000
253 0 0.320150000
254 0 0.319850000
255 0 0.319766000
256 0 0.320454000
257 0 0.327431000
258 0 0.330299000
259 0 0.337110000
260 0 0.329838000
261 0 0.331795000
262 0 0.321793000
263 0 0.321292000
264 0 0.321114000
265 0 0.320907000
266 0 0.320729000
267 0 0.320557000
268 0 0.320349000
269 0 0.325207000
270 0 0.320971000
271 0 0.320869000
272 0 0.320695000
