parameters PADDING 246, 
0 0 0.378756000
1 0 0.407925000
3 0 0.405130000
2 0 0.428928000
4 0 0.435900000
5 0 0.449672000
6 0 0.455172000
7 0 0.502898000
8 0 0.514601000
9 0 0.573396000
10 0 0.613959000
11 0 0.663921000
12 0 0.738108000
13 0 0.792526000
14 0 0.833445000
15 0 0.890547000
16 0 0.933094000
17 0 1.003088000
18 0 1.054215000
19 0 1.103352000
20 0 1.153371000
21 0 1.182463000
22 0 1.213111000
23 0 1.288600000
24 0 1.305362000
25 0 1.354899000
26 0 1.399432000
27 0 1.448696000
28 0 1.531739000
29 0 1.554637000
30 0 1.839678000
31 0 1.896482000
32 0 1.926333000
33 0 1.955606000
34 0 2.166676000
35 0 2.212001000
36 0 2.225532000
37 0 2.234922000
38 0 2.263710000
39 0 2.442319000
40 0 2.524675000
41 0 2.581603000
42 0 2.664955000
43 0 2.740711000
44 0 2.831489000
45 0 2.901198000
46 0 2.976763000
47 0 3.046811000
48 0 3.116489000
49 0 3.173066000
50 0 3.229535000
51 0 3.265979000
52 0 3.277242000
53 0 3.279840000
54 0 3.305450000
55 0 3.299110000
56 0 3.304395000
57 0 3.318351000
58 0 3.375640000
59 0 3.391823000
60 0 3.421678000
61 0 3.464502000
62 0 3.487895000
63 0 3.523894000
64 0 3.547288000
65 0 3.583551000
66 0 3.647043000
67 0 3.657090000
68 0 3.690916000
69 0 3.730047000
70 0 3.760131000
71 0 3.798737000
72 0 3.827096000
73 0 3.862903000
74 0 3.898522000
75 0 4.261783000
76 0 4.326455000
77 0 4.412616000
78 0 4.477960000
79 0 4.548068000
80 0 4.625562000
81 0 4.682374000
82 0 4.744606000
83 0 4.781969000
84 0 4.830193000
85 0 4.893311000
86 0 4.978299000
87 0 5.033034000
88 0 5.097709000
89 0 5.145980000
90 0 5.217366000
91 0 5.281160000
92 0 5.336005000
93 0 5.339155000
94 0 5.350269000
95 0 5.345393000
96 0 5.349359000
97 0 5.459134000
98 0 5.465002000
99 0 5.470965000
100 0 5.482606000
101 0 5.511115000
102 0 5.535360000
103 0 5.577056000
104 0 5.608346000
105 0 5.636976000
106 0 5.667793000
107 0 5.696210000
108 0 5.753867000
109 0 5.784303000
110 0 5.819129000
111 0 5.978408000
112 0 6.002891000
113 0 6.051401000
114 0 6.113790000
115 0 6.205657000
116 0 6.240857000
117 0 6.270708000
118 0 6.328518000
119 0 6.385139000
120 0 6.402085000
121 0 6.451351000
122 0 6.520035000
123 0 6.563133000
124 0 6.647461000
125 0 6.677660000
126 0 6.699417000
127 0 6.756975000
128 0 6.792629000
129 0 6.861606000
130 0 6.899668000
131 0 6.915361000
132 0 6.924983000
133 0 7.042574000
134 0 7.079029000
135 0 7.122189000
136 0 7.165313000
137 0 7.216872000
146 0 7.182139000
147 0 7.220076000
148 0 7.276817000
149 0 7.293336000
150 0 7.329354000
151 0 7.351731000
202 0 6.926281000
203 0 6.996324000
204 0 7.016566000
205 0 7.006621000
206 0 7.025489000
252 0 6.592230000
253 0 6.609053000
254 0 6.638628000
255 0 6.668479000
256 0 6.704809000
257 0 6.788274000
301 0 6.408142000
302 0 6.445077000
303 0 6.447200000
304 0 6.491269000
305 0 6.521148000
306 0 6.558723000
341 0 6.227447000
342 0 6.265414000
343 0 6.288255000
344 0 6.324687000
345 0 6.354480000
346 0 6.391010000
350 0 6.410215000
351 0 6.425971000
352 0 6.455484000
353 0 6.485454000
354 0 6.488421000
377 0 6.327512000
378 0 6.358252000
379 0 6.433391000
380 0 6.464524000
381 0 6.501028000
382 0 6.517575000
403 0 6.337267000
404 0 6.433648000
405 0 6.442978000
406 0 6.438931000
407 0 6.470005000
408 0 6.499741000
455 0 6.080274000
456 0 6.104737000
457 0 6.134560000
458 0 6.171075000
459 0 6.206310000
460 0 6.230671000
503 0 5.845394000
504 0 5.882102000
505 0 5.913900000
506 0 5.942898000
507 0 5.978214000
508 0 6.034657000
542 0 5.742198000
543 0 5.877596000
544 0 5.936360000
545 0 5.993049000
546 0 6.009289000
547 0 6.064868000
583 0 5.739683000
584 0 5.795413000
585 0 5.832681000
586 0 5.882537000
587 0 5.957991000
602 0 5.818844000
603 0 6.156468000
604 0 6.220987000
605 0 6.270802000
606 0 6.306594000
607 0 6.310480000
619 0 6.214156000
620 0 6.245660000
621 0 6.360780000
622 0 6.372322000
623 0 6.434952000
624 0 6.491599000
645 0 6.337540000
646 0 6.587339000
647 0 6.696019000
648 0 6.716566000
649 0 6.722492000
650 0 6.812648000
691 0 6.448255000
692 0 6.511617000
693 0 6.578000000
694 0 6.637668000
695 0 6.689840000
720 0 6.517475000
721 0 6.543518000
722 0 6.627298000
723 0 6.656171000
724 0 6.725699000
725 0 6.769346000
755 0 6.531571000
756 0 6.560540000
757 0 6.623595000
758 0 6.687411000
759 0 6.729931000
760 0 6.801809000
781 0 6.661943000
782 0 6.716058000
783 0 6.792515000
784 0 6.842510000
785 0 6.889427000
786 0 6.942044000
820 0 6.656595000
821 0 6.707315000
822 0 6.749067000
823 0 6.798970000
824 0 6.857395000
825 0 6.906644000
849 0 6.736613000
850 0 6.824706000
851 0 6.868969000
852 0 6.912161000
853 0 6.953916000
869 0 6.844730000
870 0 6.908602000
871 0 7.007418000
872 0 7.040786000
873 0 7.059897000
874 0 7.460325000
899 0 7.286001000
900 0 7.470520000
