parameters PADDING 21, 
0 0 0.549375000
1 0 0.539350000
2 0 0.529269000
3 0 0.519152000
4 0 0.509034000
5 0 0.498880000
6 0 0.488765000
7 0 0.478610000
8 0 0.468538000
9 0 0.458393000
10 0 0.448273000
11 0 0.438126000
12 0 0.428006000
13 0 0.417863000
14 0 0.407720000
15 0 0.397640000
16 0 0.387491000
17 0 0.377372000
18 0 0.374652000
19 0 0.376512000
20 0 0.373344000
21 0 0.369183000
22 0 0.368443000
23 0 0.370995000
24 0 0.375683000
25 0 0.365596000
26 0 0.368418000
27 0 0.378938000
28 0 0.368905000
29 0 0.366883000
30 0 0.375723000
31 0 0.377581000
32 0 0.372855000
33 0 0.374096000
34 0 0.385807000
35 0 0.385012000
36 0 0.375025000
37 0 0.377333000
38 0 0.373467000
39 0 0.382307000
40 0 0.378173000
41 0 0.376027000
42 0 0.370529000
43 0 0.368692000
44 0 0.367521000
45 0 0.367426000
46 0 0.364273000
47 0 0.361123000
48 0 0.359956000
49 0 0.360796000
50 0 0.360600000
51 0 0.358419000
52 0 0.364111000
53 0 0.357179000
54 0 0.358002000
55 0 0.353811000
56 0 0.357671000
57 0 0.356474000
58 0 0.351334000
59 0 0.357829000
60 0 0.348362000
61 0 0.344814000
62 0 0.346512000
63 0 0.356113000
64 0 0.349292000
65 0 0.353115000
66 0 0.351120000
67 0 0.350708000
68 0 0.350226000
69 0 0.352385000
70 0 0.350244000
71 0 0.352100000
72 0 0.351095000
73 0 0.351787000
74 0 0.351646000
75 0 0.352584000
76 0 0.352331000
77 0 0.355124000
78 0 0.354315000
79 0 0.356772000
80 0 0.354601000
81 0 0.360417000
82 0 0.368011000
83 0 0.364981000
84 0 0.367691000
85 0 0.369750000
86 0 0.363998000
87 0 0.367397000
88 0 0.366195000
89 0 0.362031000
90 0 0.360678000
91 0 0.367685000
92 0 0.357866000
93 0 0.371915000
94 0 0.361962000
95 0 0.359998000
96 0 0.356806000
97 0 0.353285000
98 0 0.356563000
99 0 0.356341000
100 0 0.355127000
101 0 0.353952000
102 0 0.358489000
103 0 0.350628000
104 0 0.345820000
105 0 0.345283000
106 0 0.351464000
107 0 0.347050000
108 0 0.352041000
109 0 0.348568000
110 0 0.343404000
111 0 0.342238000
112 0 0.345583000
113 0 0.343411000
114 0 0.348131000
115 0 0.347629000
116 0 0.345485000
117 0 0.346577000
118 0 0.342018000
119 0 0.342864000
120 0 0.340530000
121 0 0.339628000
122 0 0.340374000
123 0 0.340175000
124 0 0.340008000
125 0 0.341824000
126 0 0.344981000
127 0 0.346463000
128 0 0.347084000
129 0 0.353412000
130 0 0.353947000
131 0 0.353014000
132 0 0.362856000
133 0 0.354388000
134 0 0.355109000
135 0 0.353960000
136 0 0.353877000
137 0 0.350593000
138 0 0.350514000
139 0 0.348331000
140 0 0.356159000
141 0 0.347291000
142 0 0.351221000
143 0 0.344678000
144 0 0.343510000
145 0 0.343218000
146 0 0.339150000
147 0 0.340080000
148 0 0.338814000
149 0 0.336482000
150 0 0.337450000
151 0 0.338263000
152 0 0.340112000
153 0 0.348589000
154 0 0.344823000
155 0 0.336112000
156 0 0.328431000
157 0 0.329177000
158 0 0.330048000
159 0 0.340934000
160 0 0.330935000
161 0 0.328570000
162 0 0.327518000
163 0 0.338212000
164 0 0.337157000
165 0 0.334851000
166 0 0.335472000
167 0 0.334477000
168 0 0.331769000
169 0 0.339144000
170 0 0.331965000
171 0 0.339335000
172 0 0.333063000
173 0 0.335494000
174 0 0.332739000
175 0 0.330168000
176 0 0.333852000
177 0 0.337801000
178 0 0.336508000
179 0 0.339451000
180 0 0.342282000
181 0 0.342119000
182 0 0.344054000
183 0 0.343912000
184 0 0.343959000
185 0 0.343085000
186 0 0.344776000
187 0 0.344974000
188 0 0.347672000
189 0 0.344664000
190 0 0.341505000
191 0 0.341314000
192 0 0.348142000
193 0 0.343969000
194 0 0.336780000
195 0 0.337618000
196 0 0.356427000
197 0 0.353668000
198 0 0.343676000
199 0 0.333648000
200 0 0.338699000
201 0 0.330525000
202 0 0.328247000
203 0 0.332165000
204 0 0.323297000
205 0 0.324809000
206 0 0.342642000
207 0 0.332689000
208 0 0.322717000
209 0 0.331673000
210 0 0.324337000
211 0 0.323776000
212 0 0.328734000
213 0 0.333445000
214 0 0.339251000
215 0 0.329222000
216 0 0.325918000
217 0 0.342802000
218 0 0.333030000
219 0 0.326420000
220 0 0.335258000
221 0 0.329083000
222 0 0.330905000
223 0 0.332719000
224 0 0.332558000
225 0 0.332391000
226 0 0.342203000
227 0 0.338034000
228 0 0.339115000
229 0 0.338093000
230 0 0.339091000
231 0 0.338804000
232 0 0.351256000
233 0 0.344142000
234 0 0.347911000
235 0 0.361755000
236 0 0.351785000
237 0 0.346367000
238 0 0.345135000
239 0 0.341059000
240 0 0.339878000
241 0 0.339763000
242 0 0.341552000
243 0 0.331556000
244 0 0.335201000
245 0 0.335700000
246 0 0.340206000
247 0 0.330153000
248 0 0.328279000
249 0 0.329301000
250 0 0.327235000
251 0 0.324997000
252 0 0.324221000
253 0 0.326645000
254 0 0.323063000
255 0 0.315293000
256 0 0.324297000
257 0 0.315772000
258 0 0.314563000
259 0 0.315371000
260 0 0.315411000
261 0 0.315638000
262 0 0.314462000
263 0 0.315875000
264 0 0.316678000
265 0 0.316509000
266 0 0.315338000
267 0 0.316176000
268 0 0.315981000
269 0 0.315854000
270 0 0.324563000
271 0 0.315670000
272 0 0.315349000
273 0 0.316189000
274 0 0.315869000
275 0 0.316829000
276 0 0.315658000
277 0 0.315462000
278 0 0.316294000
279 0 0.318108000
280 0 0.317937000
281 0 0.316886000
282 0 0.316684000
283 0 0.315384000
284 0 0.314632000
285 0 0.314447000
286 0 0.316884000
287 0 0.316410000
288 0 0.315660000
289 0 0.316354000
290 0 0.316213000
291 0 0.317901000
292 0 0.315839000
293 0 0.324547000
294 0 0.317485000
295 0 0.316198000
296 0 0.315298000
297 0 0.315138000
298 0 0.315985000
299 0 0.316700000
300 0 0.316527000
301 0 0.315470000
302 0 0.317159000
303 0 0.319093000
304 0 0.315929000
305 0 0.315830000
306 0 0.325676000
307 0 0.316809000
308 0 0.315303000
309 0 0.318184000
310 0 0.315942000
311 0 0.315780000
312 0 0.315612000
313 0 0.317435000
314 0 0.316399000
315 0 0.319124000
316 0 0.315983000
317 0 0.330095000
318 0 0.320189000
319 0 0.314889000
320 0 0.324940000
321 0 0.319981000
322 0 0.316911000
323 0 0.316740000
324 0 0.316537000
325 0 0.317477000
326 0 0.316309000
327 0 0.316117000
328 0 0.315947000
329 0 0.316764000
330 0 0.315626000
331 0 0.317471000
332 0 0.316258000
333 0 0.315479000
334 0 0.314912000
335 0 0.317809000
336 0 0.315667000
337 0 0.318373000
338 0 0.317447000
339 0 0.315694000
340 0 0.315960000
341 0 0.327784000
342 0 0.316905000
343 0 0.317534000
344 0 0.316360000
345 0 0.317569000
346 0 0.316082000
347 0 0.315920000
348 0 0.315788000
349 0 0.315586000
350 0 0.315763000
351 0 0.316300000
352 0 0.320095000
353 0 0.315924000
354 0 0.315720000
355 0 0.316435000
356 0 0.316387000
357 0 0.317192000
358 0 0.320019000
359 0 0.316925000
360 0 0.316772000
361 0 0.315602000
362 0 0.320443000
363 0 0.321140000
364 0 0.320120000
365 0 0.316908000
366 0 0.315735000
367 0 0.316618000
368 0 0.315490000
369 0 0.315300000
370 0 0.315138000
371 0 0.315948000
372 0 0.320912000
373 0 0.315628000
374 0 0.315463000
375 0 0.317319000
376 0 0.316148000
377 0 0.314944000
378 0 0.315794000
379 0 0.315645000
380 0 0.316454000
381 0 0.316283000
382 0 0.319112000
383 0 0.314528000
384 0 0.315738000
385 0 0.315644000
386 0 0.316000000
387 0 0.318436000
388 0 0.316135000
389 0 0.314969000
390 0 0.317944000
391 0 0.315645000
392 0 0.321489000
393 0 0.315101000
394 0 0.316226000
395 0 0.316001000
396 0 0.315841000
397 0 0.315677000
