--------- beginning of /dev/log/main
D/UDP-TIMING(12522): 0 0 -0.396981000
D/UDP-TIMING(12522): 1 0 -0.398954000
D/UDP-TIMING(12522): 2 0 -0.401022000
D/UDP-TIMING(12522): 3 0 -0.403059000
D/UDP-TIMING(12522): 4 0 -0.405140000
D/UDP-TIMING(12522): 56 0 -0.486484000
D/UDP-TIMING(12522): 19 0 -0.406537000
D/UDP-TIMING(12522): 20 0 -0.407918000
D/UDP-TIMING(12522): 21 0 -0.409725000
D/UDP-TIMING(12522): 22 0 -0.411837000
D/UDP-TIMING(12522): 23 0 -0.413968000
D/UDP-TIMING(12522): 24 0 -0.416039000
D/UDP-TIMING(12522): 25 0 -0.418149000
D/UDP-TIMING(12522): 26 0 -0.420293000
D/UDP-TIMING(12522): 27 0 -0.422407000
D/UDP-TIMING(12522): 28 0 -0.424554000
D/UDP-TIMING(12522): 29 0 -0.426595000
D/UDP-TIMING(12522): 30 0 -0.428739000
D/UDP-TIMING(12522): 31 0 -0.430858000
D/UDP-TIMING(12522): 32 0 -0.432992000
D/UDP-TIMING(12522): 33 0 -0.435109000
D/UDP-TIMING(12522): 34 0 -0.437258000
D/UDP-TIMING(12522): 35 0 -0.439409000
D/UDP-TIMING(12522): 36 0 -0.441524000
D/UDP-TIMING(12522): 37 0 -0.443668000
D/UDP-TIMING(12522): 38 0 -0.445784000
D/UDP-TIMING(12522): 39 0 -0.447932000
D/UDP-TIMING(12522): 40 0 -0.450075000
D/UDP-TIMING(12522): 41 0 -0.452187000
D/UDP-TIMING(12522): 42 0 -0.454328000
D/UDP-TIMING(12522): 43 0 -0.456469000
D/UDP-TIMING(12522): 44 0 -0.458573000
D/UDP-TIMING(12522): 45 0 -0.460710000
D/UDP-TIMING(12522): 46 0 -0.462766000
D/UDP-TIMING(12522): 47 0 -0.464860000
D/UDP-TIMING(12522): 48 0 -0.466917000
D/UDP-TIMING(12522): 49 0 -0.468955000
D/UDP-TIMING(12522): 50 0 -0.471063000
D/UDP-TIMING(12522): 51 0 -0.473139000
D/UDP-TIMING(12522): 52 0 -0.475237000
D/UDP-TIMING(12522): 53 0 -0.477339000
D/UDP-TIMING(12522): 54 0 -0.479420000
D/UDP-TIMING(12522): 55 0 -0.481481000
D/UDP-TIMING(12522): 57 0 -0.485677000
D/UDP-TIMING(12522): 58 0 -0.482460000
D/UDP-TIMING(12522): 59 0 -0.484408000
D/UDP-TIMING(12522): 60 0 -0.486502000
D/UDP-TIMING(12522): 61 0 -0.488658000
D/UDP-TIMING(12522): 62 0 -0.487515000
D/UDP-TIMING(12522): 63 0 -0.487159000
D/UDP-TIMING(12522): 64 0 -0.486285000
