--------- beginning of /dev/log/main
D/UDP-TIMING(12522): 0 0 -0.389409000
D/UDP-TIMING(12522): 1 0 -0.399469000
D/UDP-TIMING(12522): 2 0 -0.409577000
D/UDP-TIMING(12522): 3 0 -0.382641000
D/UDP-TIMING(12522): 4 0 -0.392695000
D/UDP-TIMING(12522): 5 0 -0.402814000
D/UDP-TIMING(12522): 6 0 -0.412968000
D/UDP-TIMING(12522): 7 0 -0.423089000
D/UDP-TIMING(12522): 8 0 -0.433241000
D/UDP-TIMING(12522): 9 0 -0.443358000
D/UDP-TIMING(12522): 10 0 -0.453513000
D/UDP-TIMING(12522): 11 0 -0.463657000
D/UDP-TIMING(12522): 12 0 -0.473720000
D/UDP-TIMING(12522): 13 0 -0.483846000
D/UDP-TIMING(12522): 14 0 -0.490185000
D/UDP-TIMING(12522): 15 0 -0.496393000
D/UDP-TIMING(12522): 16 0 -0.496316000
D/UDP-TIMING(12522): 17 0 -0.496885000
D/UDP-TIMING(12522): 18 0 -0.488414000
D/UDP-TIMING(12522): 19 0 -0.476647000
D/UDP-TIMING(12522): 20 0 -0.486686000
D/UDP-TIMING(12522): 21 0 -0.496580000
D/UDP-TIMING(12522): 22 0 -0.496175000
D/UDP-TIMING(12522): 23 0 -0.493349000
D/UDP-TIMING(12522): 24 0 -0.492195000
D/UDP-TIMING(12522): 25 0 -0.496085000
D/UDP-TIMING(12522): 26 0 -0.487704000
D/UDP-TIMING(12522): 27 0 -0.489342000
D/UDP-TIMING(12522): 28 0 -0.488605000
D/UDP-TIMING(12522): 29 0 -0.496223000
D/UDP-TIMING(12522): 30 0 -0.488883000
D/UDP-TIMING(12522): 31 0 -0.489147000
D/UDP-TIMING(12522): 32 0 -0.488262000
D/UDP-TIMING(12522): 33 0 -0.491192000
D/UDP-TIMING(12522): 34 0 -0.494581000
D/UDP-TIMING(12522): 35 0 -0.494006000
D/UDP-TIMING(12522): 36 0 -0.495382000
D/UDP-TIMING(12522): 37 0 -0.495374000
D/UDP-TIMING(12522): 38 0 -0.495455000
D/UDP-TIMING(12522): 39 0 -0.495717000
D/UDP-TIMING(12522): 40 0 -0.488343000
D/UDP-TIMING(12522): 41 0 -0.495611000
D/UDP-TIMING(12522): 42 0 -0.492158000
D/UDP-TIMING(12522): 43 0 -0.495108000
D/UDP-TIMING(12522): 44 0 -0.487866000
D/UDP-TIMING(12522): 45 0 -0.489193000
D/UDP-TIMING(12522): 46 0 -0.487532000
D/UDP-TIMING(12522): 47 0 -0.486813000
D/UDP-TIMING(12522): 48 0 -0.496546000
D/UDP-TIMING(12522): 49 0 -0.488093000
D/UDP-TIMING(12522): 50 0 -0.495221000
D/UDP-TIMING(12522): 51 0 -0.495979000
D/UDP-TIMING(12522): 52 0 -0.496673000
D/UDP-TIMING(12522): 53 0 -0.495263000
D/UDP-TIMING(12522): 54 0 -0.495887000
D/UDP-TIMING(12522): 55 0 -0.496523000
D/UDP-TIMING(12522): 56 0 -0.496269000
D/UDP-TIMING(12522): 57 0 -0.494843000
D/UDP-TIMING(12522): 58 0 -0.494650000
D/UDP-TIMING(12522): 59 0 -0.495979000
D/UDP-TIMING(12522): 60 0 -0.495653000
D/UDP-TIMING(12522): 61 0 -0.495900000
D/UDP-TIMING(12522): 62 0 -0.489514000
D/UDP-TIMING(12522): 63 0 -0.494062000
D/UDP-TIMING(12522): 64 0 -0.495833000
D/UDP-TIMING(12522): 65 0 -0.495385000
D/UDP-TIMING(12522): 66 0 -0.496520000
D/UDP-TIMING(12522): 67 0 -0.495732000
D/UDP-TIMING(12522): 68 0 -0.496499000
D/UDP-TIMING(12522): 69 0 -0.495085000
D/UDP-TIMING(12522): 70 0 -0.495244000
D/UDP-TIMING(12522): 71 0 -0.486772000
D/UDP-TIMING(12522): 72 0 -0.486552000
D/UDP-TIMING(12522): 73 0 -0.487695000
D/UDP-TIMING(12522): 74 0 -0.496460000
D/UDP-TIMING(12522): 75 0 -0.495793000
D/UDP-TIMING(12522): 76 0 -0.496146000
D/UDP-TIMING(12522): 77 0 -0.495938000
D/UDP-TIMING(12522): 78 0 -0.496077000
D/UDP-TIMING(12522): 79 0 -0.494541000
D/UDP-TIMING(12522): 80 0 -0.494944000
D/UDP-TIMING(12522): 81 0 -0.496436000
D/UDP-TIMING(12522): 82 0 -0.481026000
D/UDP-TIMING(12522): 83 0 -0.482894000
D/UDP-TIMING(12522): 84 0 -0.487476000
D/UDP-TIMING(12522): 85 0 -0.485654000
D/UDP-TIMING(12522): 86 0 -0.493367000
D/UDP-TIMING(12522): 87 0 -0.496559000
D/UDP-TIMING(12522): 88 0 -0.496196000
D/UDP-TIMING(12522): 89 0 -0.488201000
D/UDP-TIMING(12522): 90 0 -0.495487000
D/UDP-TIMING(12522): 91 0 -0.494355000
D/UDP-TIMING(12522): 92 0 -0.491553000
D/UDP-TIMING(12522): 93 0 -0.495860000
D/UDP-TIMING(12522): 94 0 -0.496165000
D/UDP-TIMING(12522): 95 0 -0.496835000
D/UDP-TIMING(12522): 96 0 -0.496992000
D/UDP-TIMING(12522): 97 0 -0.492453000
D/UDP-TIMING(12522): 98 0 -0.494929000
D/UDP-TIMING(12522): 99 0 -0.495876000
D/UDP-TIMING(12522): 100 0 -0.495062000
D/UDP-TIMING(12522): 101 0 -0.496792000
D/UDP-TIMING(12522): 102 0 -0.491354000
D/UDP-TIMING(12522): 103 0 -0.495520000
D/UDP-TIMING(12522): 104 0 -0.496291000
D/UDP-TIMING(12522): 105 0 -0.496220000
D/UDP-TIMING(12522): 106 0 -0.495979000
D/UDP-TIMING(12522): 107 0 -0.496135000
