--------- beginning of /dev/log/main
D/UDP-TIMING(12522): 122 0 -0.489666000
D/UDP-TIMING(12522): 123 0 -0.488762000
D/UDP-TIMING(12522): 124 0 -0.489795000
D/UDP-TIMING(12522): 125 0 -0.481581000
D/UDP-TIMING(12522): 126 0 -0.487481000
D/UDP-TIMING(12522): 127 0 -0.488931000
D/UDP-TIMING(12522): 128 0 -0.489443000
D/UDP-TIMING(12522): 129 0 -0.489679000
D/UDP-TIMING(12522): 130 0 -0.488731000
D/UDP-TIMING(12522): 131 0 -0.488649000
D/UDP-TIMING(12522): 132 0 -0.487148000
D/UDP-TIMING(12522): 133 0 -0.486452000
D/UDP-TIMING(12522): 134 0 -0.489579000
D/UDP-TIMING(12522): 135 0 -0.490007000
D/UDP-TIMING(12522): 136 0 -0.487935000
D/UDP-TIMING(12522): 137 0 -0.490062000
D/UDP-TIMING(12522): 138 0 -0.489226000
D/UDP-TIMING(12522): 139 0 -0.489097000
D/UDP-TIMING(12522): 140 0 -0.490095000
D/UDP-TIMING(12522): 141 0 -0.488914000
D/UDP-TIMING(12522): 142 0 -0.490992000
D/UDP-TIMING(12522): 143 0 -0.489396000
D/UDP-TIMING(12522): 144 0 -0.489650000
D/UDP-TIMING(12522): 145 0 -0.489888000
D/UDP-TIMING(12522): 146 0 -0.490528000
D/UDP-TIMING(12522): 147 0 -0.489764000
D/UDP-TIMING(12522): 148 0 -0.489772000
D/UDP-TIMING(12522): 149 0 -0.482207000
D/UDP-TIMING(12522): 150 0 -0.488060000
D/UDP-TIMING(12522): 151 0 -0.487113000
D/UDP-TIMING(12522): 152 0 -0.488647000
D/UDP-TIMING(12522): 153 0 -0.489809000
D/UDP-TIMING(12522): 154 0 -0.490512000
D/UDP-TIMING(12522): 155 0 -0.489534000
D/UDP-TIMING(12522): 156 0 -0.488706000
D/UDP-TIMING(12522): 157 0 -0.489431000
D/UDP-TIMING(12522): 158 0 -0.489336000
D/UDP-TIMING(12522): 159 0 -0.489069000
D/UDP-TIMING(12522): 160 0 -0.490155000
D/UDP-TIMING(12522): 161 0 -0.489195000
D/UDP-TIMING(12522): 162 0 -0.490031000
D/UDP-TIMING(12522): 163 0 -0.488692000
D/UDP-TIMING(12522): 164 0 -0.489302000
D/UDP-TIMING(12522): 165 0 -0.490094000
D/UDP-TIMING(12522): 166 0 -0.486597000
D/UDP-TIMING(12522): 167 0 -0.489864000
D/UDP-TIMING(12522): 168 0 -0.489675000
D/UDP-TIMING(12522): 169 0 -0.488370000
D/UDP-TIMING(12522): 170 0 -0.488785000
D/UDP-TIMING(12522): 171 0 -0.489231000
D/UDP-TIMING(12522): 172 0 -0.489715000
D/UDP-TIMING(12522): 173 0 -0.489924000
D/UDP-TIMING(12522): 174 0 -0.489664000
D/UDP-TIMING(12522): 175 0 -0.488834000
D/UDP-TIMING(12522): 176 0 -0.489375000
D/UDP-TIMING(12522): 177 0 -0.490037000
D/UDP-TIMING(12522): 178 0 -0.490013000
D/UDP-TIMING(12522): 179 0 -0.490258000
D/UDP-TIMING(12522): 180 0 -0.490353000
D/UDP-TIMING(12522): 181 0 -0.490628000
D/UDP-TIMING(12522): 182 0 -0.484022000
D/UDP-TIMING(12522): 183 0 -0.490016000
D/UDP-TIMING(12522): 184 0 -0.489003000
D/UDP-TIMING(12522): 185 0 -0.488099000
D/UDP-TIMING(12522): 186 0 -0.489225000
D/UDP-TIMING(12522): 187 0 -0.490012000
D/UDP-TIMING(12522): 188 0 -0.490437000
D/UDP-TIMING(12522): 189 0 -0.489428000
D/UDP-TIMING(12522): 190 0 -0.489699000
D/UDP-TIMING(12522): 191 0 -0.489740000
D/UDP-TIMING(12522): 192 0 -0.489313000
D/UDP-TIMING(12522): 193 0 -0.490055000
D/UDP-TIMING(12522): 194 0 -0.490071000
D/UDP-TIMING(12522): 195 0 -0.487637000
D/UDP-TIMING(12522): 196 0 -0.485973000
D/UDP-TIMING(12522): 197 0 -0.489890000
D/UDP-TIMING(12522): 198 0 -0.484645000
D/UDP-TIMING(12522): 199 0 -0.490580000
D/UDP-TIMING(12522): 200 0 -0.489906000
D/UDP-TIMING(12522): 201 0 -0.489946000
D/UDP-TIMING(12522): 202 0 -0.489477000
D/UDP-TIMING(12522): 203 0 -0.489293000
D/UDP-TIMING(12522): 204 0 -0.486531000
D/UDP-TIMING(12522): 205 0 -0.489043000
D/UDP-TIMING(12522): 206 0 -0.488832000
D/UDP-TIMING(12522): 207 0 -0.489518000
D/UDP-TIMING(12522): 208 0 -0.489183000
D/UDP-TIMING(12522): 209 0 -0.489706000
D/UDP-TIMING(12522): 210 0 -0.490503000
D/UDP-TIMING(12522): 211 0 -0.490609000
D/UDP-TIMING(12522): 212 0 -0.489735000
D/UDP-TIMING(12522): 213 0 -0.489832000
D/UDP-TIMING(12522): 214 0 -0.490062000
D/UDP-TIMING(12522): 215 0 -0.489959000
D/UDP-TIMING(12522): 216 0 -0.485737000
D/UDP-TIMING(12522): 217 0 -0.490048000
D/UDP-TIMING(12522): 218 0 -0.488713000
D/UDP-TIMING(12522): 219 0 -0.490938000
D/UDP-TIMING(12522): 220 0 -0.490141000
D/UDP-TIMING(12522): 221 0 -0.490280000
D/UDP-TIMING(12522): 222 0 -0.488922000
D/UDP-TIMING(12522): 223 0 -0.487504000
D/UDP-TIMING(12522): 224 0 -0.489654000
D/UDP-TIMING(12522): 225 0 -0.490777000
D/UDP-TIMING(12522): 226 0 -0.488898000
D/UDP-TIMING(12522): 227 0 -0.489295000
D/UDP-TIMING(12522): 228 0 -0.490000000
D/UDP-TIMING(12522): 229 0 -0.488311000
D/UDP-TIMING(12522): 230 0 -0.490286000
D/UDP-TIMING(12522): 231 0 -0.490363000
D/UDP-TIMING(12522): 232 0 -0.484533000
D/UDP-TIMING(12522): 233 0 -0.487674000
D/UDP-TIMING(12522): 234 0 -0.489803000
D/UDP-TIMING(12522): 235 0 -0.489735000
D/UDP-TIMING(12522): 236 0 -0.489647000
D/UDP-TIMING(12522): 237 0 -0.490130000
D/UDP-TIMING(12522): 238 0 -0.490377000
D/UDP-TIMING(12522): 239 0 -0.490369000
D/UDP-TIMING(12522): 240 0 -0.489542000
D/UDP-TIMING(12522): 241 0 -0.489531000
D/UDP-TIMING(12522): 242 0 -0.490800000
D/UDP-TIMING(12522): 243 0 -0.489088000
D/UDP-TIMING(12522): 244 0 -0.488976000
D/UDP-TIMING(12522): 245 0 -0.489498000
D/UDP-TIMING(12522): 246 0 -0.489586000
D/UDP-TIMING(12522): 247 0 -0.490418000
D/UDP-TIMING(12522): 248 0 -0.490539000
D/UDP-TIMING(12522): 249 0 -0.485125000
D/UDP-TIMING(12522): 250 0 -0.489266000
D/UDP-TIMING(12522): 251 0 -0.490048000
D/UDP-TIMING(12522): 252 0 -0.490148000
D/UDP-TIMING(12522): 253 0 -0.490167000
D/UDP-TIMING(12522): 254 0 -0.490070000
D/UDP-TIMING(12522): 255 0 -0.489959000
D/UDP-TIMING(12522): 256 0 -0.490662000
D/UDP-TIMING(12522): 257 0 -0.490721000
D/UDP-TIMING(12522): 258 0 -0.490072000
D/UDP-TIMING(12522): 259 0 -0.490212000
D/UDP-TIMING(12522): 260 0 -0.490324000
D/UDP-TIMING(12522): 261 0 -0.489287000
D/UDP-TIMING(12522): 262 0 -0.489349000
D/UDP-TIMING(12522): 263 0 -0.489354000
D/UDP-TIMING(12522): 264 0 -0.490197000
D/UDP-TIMING(12522): 265 0 -0.485391000
D/UDP-TIMING(12522): 266 0 -0.488571000
D/UDP-TIMING(12522): 267 0 -0.490414000
D/UDP-TIMING(12522): 268 0 -0.489512000
D/UDP-TIMING(12522): 269 0 -0.490063000
D/UDP-TIMING(12522): 270 0 -0.489145000
D/UDP-TIMING(12522): 271 0 -0.490808000
D/UDP-TIMING(12522): 272 0 -0.490078000
D/UDP-TIMING(12522): 273 0 -0.490160000
D/UDP-TIMING(12522): 274 0 -0.490234000
D/UDP-TIMING(12522): 275 0 -0.490224000
D/UDP-TIMING(12522): 276 0 -0.489890000
D/UDP-TIMING(12522): 277 0 -0.486505000
D/UDP-TIMING(12522): 278 0 -0.489028000
D/UDP-TIMING(12522): 279 0 -0.489751000
D/UDP-TIMING(12522): 280 0 -0.489896000
D/UDP-TIMING(12522): 281 0 -0.489946000
D/UDP-TIMING(12522): 282 0 -0.488124000
D/UDP-TIMING(12522): 283 0 -0.490026000
D/UDP-TIMING(12522): 284 0 -0.487357000
D/UDP-TIMING(12522): 285 0 -0.490559000
D/UDP-TIMING(12522): 286 0 -0.490714000
D/UDP-TIMING(12522): 287 0 -0.488976000
D/UDP-TIMING(12522): 288 0 -0.489068000
D/UDP-TIMING(12522): 289 0 -0.489297000
D/UDP-TIMING(12522): 290 0 -0.490245000
D/UDP-TIMING(12522): 291 0 -0.490359000
D/UDP-TIMING(12522): 292 0 -0.488902000
D/UDP-TIMING(12522): 293 0 -0.489789000
D/UDP-TIMING(12522): 294 0 -0.488881000
D/UDP-TIMING(12522): 295 0 -0.489099000
D/UDP-TIMING(12522): 296 0 -0.489589000
D/UDP-TIMING(12522): 297 0 -0.490341000
D/UDP-TIMING(12522): 298 0 -0.487535000
D/UDP-TIMING(12522): 299 0 -0.490711000
D/UDP-TIMING(12522): 300 0 -0.489746000
D/UDP-TIMING(12522): 301 0 -0.489729000
D/UDP-TIMING(12522): 302 0 -0.490155000
D/UDP-TIMING(12522): 303 0 -0.489635000
D/UDP-TIMING(12522): 304 0 -0.489525000
D/UDP-TIMING(12522): 305 0 -0.490665000
D/UDP-TIMING(12522): 306 0 -0.488859000
D/UDP-TIMING(12522): 307 0 -0.490295000
D/UDP-TIMING(12522): 308 0 -0.490377000
D/UDP-TIMING(12522): 309 0 -0.489109000
D/UDP-TIMING(12522): 310 0 -0.488323000
D/UDP-TIMING(12522): 311 0 -0.489929000
D/UDP-TIMING(12522): 312 0 -0.489601000
D/UDP-TIMING(12522): 313 0 -0.489765000
D/UDP-TIMING(12522): 314 0 -0.488908000
D/UDP-TIMING(12522): 315 0 -0.490071000
D/UDP-TIMING(12522): 316 0 -0.487449000
D/UDP-TIMING(12522): 317 0 -0.489797000
D/UDP-TIMING(12522): 318 0 -0.489998000
D/UDP-TIMING(12522): 319 0 -0.489155000
D/UDP-TIMING(12522): 320 0 -0.489472000
D/UDP-TIMING(12522): 321 0 -0.489266000
D/UDP-TIMING(12522): 322 0 -0.489528000
D/UDP-TIMING(12522): 323 0 -0.490275000
D/UDP-TIMING(12522): 324 0 -0.490345000
