--------- beginning of /dev/log/system
I/ActivityManager(  182): Start proc com.samsung.syncservice for service com.samsung.syncservice/.SyncmlService: pid=12539 uid=1000 gids={1015, 3002, 3001, 3003, 3007}
--------- beginning of /dev/log/main
I/SyncmlService(12539): onCreate 
I/        (12539): dm_register_ext_handler_connector
I/ActivityManager(  182): Start proc com.android.bip for service com.android.bip/.BIPService: pid=12554 uid=10001 gids={3003}
D/UDP-TIMING(12522): 142 0 -0.407334000
D/UDP-TIMING(12522): 143 0 -0.408386000
D/UDP-TIMING(12522): 144 0 -0.409438000
D/UDP-TIMING(12522): 145 0 -0.410513000
D/UDP-TIMING(12522): 146 0 -0.411562000
D/UDP-TIMING(12522): 147 0 -0.412641000
D/UDP-TIMING(12522): 148 0 -0.413723000
D/UDP-TIMING(12522): 149 0 -0.414771000
D/UDP-TIMING(12522): 150 0 -0.415858000
D/UDP-TIMING(12522): 151 0 -0.416918000
D/UDP-TIMING(12522): 152 0 -0.417967000
D/UDP-TIMING(12522): 153 0 -0.419049000
D/UDP-TIMING(12522): 154 0 -0.420065000
D/UDP-TIMING(12522): 155 0 -0.421119000
D/UDP-TIMING(12522): 156 0 -0.422167000
D/UDP-TIMING(12522): 157 0 -0.423241000
D/UDP-TIMING(12522): 158 0 -0.424334000
D/UDP-TIMING(12522): 159 0 -0.425393000
D/UDP-TIMING(12522): 160 0 -0.426470000
D/UDP-TIMING(12522): 161 0 -0.427524000
D/UDP-TIMING(12522): 162 0 -0.428602000
D/UDP-TIMING(12522): 163 0 -0.429646000
D/UDP-TIMING(12522): 164 0 -0.430758000
D/UDP-TIMING(12522): 165 0 -0.431713000
D/UDP-TIMING(12522): 166 0 -0.432616000
D/UDP-TIMING(12522): 167 0 -0.433683000
D/UDP-TIMING(12522): 168 0 -0.434682000
D/UDP-TIMING(12522): 169 0 -0.435681000
D/UDP-TIMING(12522): 170 0 -0.436544000
D/UDP-TIMING(12522): 171 0 -0.437499000
D/UDP-TIMING(12522): 172 0 -0.438460000
D/UDP-TIMING(12522): 173 0 -0.439463000
D/UDP-TIMING(12522): 174 0 -0.440395000
D/UDP-TIMING(12522): 175 0 -0.441265000
D/UDP-TIMING(12522): 176 0 -0.442206000
D/UDP-TIMING(12522): 177 0 -0.443132000
D/UDP-TIMING(12522): 178 0 -0.444066000
D/UDP-TIMING(12522): 179 0 -0.445026000
D/UDP-TIMING(12522): 180 0 -0.445993000
D/UDP-TIMING(12522): 181 0 -0.446950000
D/UDP-TIMING(12522): 182 0 -0.447928000
D/UDP-TIMING(12522): 183 0 -0.448980000
D/UDP-TIMING(12522): 184 0 -0.449883000
D/UDP-TIMING(12522): 185 0 -0.450918000
D/UDP-TIMING(12522): 186 0 -0.451931000
D/UDP-TIMING(12522): 187 0 -0.452948000
D/UDP-TIMING(12522): 188 0 -0.453837000
D/UDP-TIMING(12522): 189 0 -0.454849000
D/UDP-TIMING(12522): 190 0 -0.455820000
D/UDP-TIMING(12522): 191 0 -0.456675000
D/UDP-TIMING(12522): 192 0 -0.457560000
D/UDP-TIMING(12522): 193 0 -0.458541000
D/UDP-TIMING(12522): 194 0 -0.459519000
D/UDP-TIMING(12522): 195 0 -0.460438000
D/UDP-TIMING(12522): 196 0 -0.461386000
D/UDP-TIMING(12522): 197 0 -0.462358000
D/UDP-TIMING(12522): 198 0 -0.463410000
D/UDP-TIMING(12522): 199 0 -0.464303000
D/UDP-TIMING(12522): 200 0 -0.465311000
D/UDP-TIMING(12522): 201 0 -0.466353000
D/UDP-TIMING(12522): 202 0 -0.372209000
D/UDP-TIMING(12522): 203 0 -0.372976000
D/UDP-TIMING(12522): 204 0 -0.374133000
D/UDP-TIMING(12522): 205 0 -0.374868000
D/UDP-TIMING(12522): 206 0 -0.375945000
D/UDP-TIMING(12522): 207 0 -0.377112000
D/UDP-TIMING(12522): 208 0 -0.378277000
D/UDP-TIMING(12522): 209 0 -0.379473000
D/UDP-TIMING(12522): 210 0 -0.380640000
D/UDP-TIMING(12522): 211 0 -0.381833000
D/UDP-TIMING(12522): 212 0 -0.383027000
D/UDP-TIMING(12522): 213 0 -0.384183000
D/UDP-TIMING(12522): 214 0 -0.385363000
D/UDP-TIMING(12522): 215 0 -0.386527000
D/UDP-TIMING(12522): 216 0 -0.387722000
D/UDP-TIMING(12522): 217 0 -0.388892000
D/UDP-TIMING(12522): 218 0 -0.390089000
D/UDP-TIMING(12522): 219 0 -0.391280000
D/UDP-TIMING(12522): 220 0 -0.392419000
D/UDP-TIMING(12522): 221 0 -0.393595000
D/UDP-TIMING(12522): 222 0 -0.394791000
D/UDP-TIMING(12522): 223 0 -0.395964000
D/UDP-TIMING(12522): 224 0 -0.397165000
D/UDP-TIMING(12522): 225 0 -0.398355000
D/UDP-TIMING(12522): 226 0 -0.399575000
D/UDP-TIMING(12522): 227 0 -0.400756000
D/UDP-TIMING(12522): 228 0 -0.401951000
D/UDP-TIMING(12522): 229 0 -0.403109000
D/UDP-TIMING(12522): 230 0 -0.404317000
D/UDP-TIMING(12522): 231 0 -0.405509000
D/UDP-TIMING(12522): 232 0 -0.406670000
D/UDP-TIMING(12522): 233 0 -0.407869000
D/UDP-TIMING(12522): 234 0 -0.409034000
D/UDP-TIMING(12522): 235 0 -0.410238000
D/UDP-TIMING(12522): 236 0 -0.411436000
D/UDP-TIMING(12522): 237 0 -0.412607000
D/UDP-TIMING(12522): 238 0 -0.413809000
D/UDP-TIMING(12522): 239 0 -0.415010000
D/UDP-TIMING(12522): 240 0 -0.416176000
D/UDP-TIMING(12522): 241 0 -0.417389000
D/UDP-TIMING(12522): 242 0 -0.418589000
D/UDP-TIMING(12522): 243 0 -0.419765000
D/UDP-TIMING(12522): 244 0 -0.420966000
D/UDP-TIMING(12522): 245 0 -0.422163000
D/UDP-TIMING(12522): 246 0 -0.423339000
D/UDP-TIMING(12522): 247 0 -0.424535000
D/UDP-TIMING(12522): 248 0 -0.425740000
D/UDP-TIMING(12522): 249 0 -0.426907000
D/UDP-TIMING(12522): 250 0 -0.428102000
D/UDP-TIMING(12522): 251 0 -0.429330000
D/UDP-TIMING(12522): 252 0 -0.430382000
D/UDP-TIMING(12522): 253 0 -0.431572000
D/UDP-TIMING(12522): 254 0 -0.432738000
D/UDP-TIMING(12522): 255 0 -0.433897000
D/UDP-TIMING(12522): 256 0 -0.434991000
D/UDP-TIMING(12522): 257 0 -0.436079000
D/UDP-TIMING(12522): 258 0 -0.437199000
D/UDP-TIMING(12522): 259 0 -0.438316000
D/UDP-TIMING(12522): 260 0 -0.439457000
D/UDP-TIMING(12522): 261 0 -0.440561000
D/UDP-TIMING(12522): 262 0 -0.441676000
D/UDP-TIMING(12522): 263 0 -0.442761000
D/UDP-TIMING(12522): 264 0 -0.443880000
D/UDP-TIMING(12522): 265 0 -0.444997000
D/UDP-TIMING(12522): 266 0 -0.446076000
D/UDP-TIMING(12522): 267 0 -0.447200000
D/UDP-TIMING(12522): 268 0 -0.448260000
D/UDP-TIMING(12522): 269 0 -0.449380000
D/UDP-TIMING(12522): 270 0 -0.450487000
D/UDP-TIMING(12522): 271 0 -0.451554000
D/UDP-TIMING(12522): 272 0 -0.452684000
D/UDP-TIMING(12522): 273 0 -0.453781000
D/UDP-TIMING(12522): 274 0 -0.454865000
D/UDP-TIMING(12522): 275 0 -0.455913000
D/UDP-TIMING(12522): 276 0 -0.457054000
D/UDP-TIMING(12522): 277 0 -0.458234000
D/UDP-TIMING(12522): 278 0 -0.459385000
D/UDP-TIMING(12522): 279 0 -0.460490000
D/UDP-TIMING(12522): 280 0 -0.461629000
D/UDP-TIMING(12522): 281 0 -0.462772000
D/UDP-TIMING(12522): 282 0 -0.463871000
D/UDP-TIMING(12522): 283 0 -0.465003000
D/UDP-TIMING(12522): 284 0 -0.466132000
D/UDP-TIMING(12522): 285 0 -0.467221000
D/UDP-TIMING(12522): 286 0 -0.464806000
D/UDP-TIMING(12522): 287 0 -0.465787000
D/UDP-TIMING(12522): 288 0 -0.466788000
