--------- beginning of /dev/log/main
D/UDP-TIMING(12522): 0 0 -0.388029000
D/UDP-TIMING(12522): 1 0 -0.392062000
D/UDP-TIMING(12522): 2 0 -0.396129000
D/UDP-TIMING(12522): 3 0 -0.400229000
D/UDP-TIMING(12522): 4 0 -0.404299000
D/UDP-TIMING(12522): 6 0 -0.374805000
D/UDP-TIMING(12522): 7 0 -0.378811000
D/UDP-TIMING(12522): 8 0 -0.382877000
D/UDP-TIMING(12522): 9 0 -0.386820000
D/UDP-TIMING(12522): 10 0 -0.390859000
D/UDP-TIMING(12522): 11 0 -0.395002000
D/UDP-TIMING(12522): 12 0 -0.399149000
D/UDP-TIMING(12522): 13 0 -0.403289000
D/UDP-TIMING(12522): 14 0 -0.407406000
D/UDP-TIMING(12522): 15 0 -0.411544000
D/UDP-TIMING(12522): 16 0 -0.415695000
D/UDP-TIMING(12522): 17 0 -0.419819000
D/UDP-TIMING(12522): 18 0 -0.423971000
D/UDP-TIMING(12522): 19 0 -0.428088000
D/UDP-TIMING(12522): 20 0 -0.432239000
D/UDP-TIMING(12522): 21 0 -0.436329000
D/UDP-TIMING(12522): 22 0 -0.440446000
D/UDP-TIMING(12522): 23 0 -0.444593000
D/UDP-TIMING(12522): 24 0 -0.448740000
D/UDP-TIMING(12522): 25 0 -0.452860000
D/UDP-TIMING(12522): 26 0 -0.457013000
D/UDP-TIMING(12522): 27 0 -0.461165000
D/UDP-TIMING(12522): 28 0 -0.465280000
D/UDP-TIMING(12522): 29 0 -0.469434000
D/UDP-TIMING(12522): 30 0 -0.473582000
D/UDP-TIMING(12522): 31 0 -0.477632000
D/UDP-TIMING(12522): 32 0 -0.463367000
D/UDP-TIMING(12522): 33 0 -0.467402000
D/UDP-TIMING(12522): 34 0 -0.471463000
D/UDP-TIMING(12522): 35 0 -0.463815000
D/UDP-TIMING(12522): 36 0 -0.467892000
D/UDP-TIMING(12522): 37 0 -0.472008000
D/UDP-TIMING(12522): 38 0 -0.476165000
D/UDP-TIMING(12522): 39 0 -0.480308000
D/UDP-TIMING(12522): 40 0 -0.484364000
D/UDP-TIMING(12522): 41 0 -0.488392000
D/UDP-TIMING(12522): 42 0 -0.488556000
D/UDP-TIMING(12522): 43 0 -0.488676000
D/UDP-TIMING(12522): 44 0 -0.487203000
D/UDP-TIMING(12522): 45 0 -0.481979000
D/UDP-TIMING(12522): 46 0 -0.486004000
D/UDP-TIMING(12522): 47 0 -0.487192000
D/UDP-TIMING(12522): 48 0 -0.488319000
D/UDP-TIMING(12522): 49 0 -0.487769000
D/UDP-TIMING(12522): 50 0 -0.488575000
D/UDP-TIMING(12522): 51 0 -0.482686000
D/UDP-TIMING(12522): 52 0 -0.486560000
D/UDP-TIMING(12522): 53 0 -0.487901000
D/UDP-TIMING(12522): 54 0 -0.488014000
D/UDP-TIMING(12522): 55 0 -0.488109000
D/UDP-TIMING(12522): 56 0 -0.488204000
D/UDP-TIMING(12522): 57 0 -0.488380000
D/UDP-TIMING(12522): 58 0 -0.487903000
D/UDP-TIMING(12522): 59 0 -0.488613000
D/UDP-TIMING(12522): 60 0 -0.487754000
D/UDP-TIMING(12522): 61 0 -0.488759000
D/UDP-TIMING(12522): 62 0 -0.487907000
D/UDP-TIMING(12522): 63 0 -0.488445000
D/UDP-TIMING(12522): 64 0 -0.489194000
D/UDP-TIMING(12522): 65 0 -0.487319000
D/UDP-TIMING(12522): 66 0 -0.487532000
D/UDP-TIMING(12522): 67 0 -0.488034000
D/UDP-TIMING(12522): 68 0 -0.488754000
D/UDP-TIMING(12522): 69 0 -0.486600000
D/UDP-TIMING(12522): 70 0 -0.488036000
D/UDP-TIMING(12522): 71 0 -0.489159000
D/UDP-TIMING(12522): 72 0 -0.489293000
D/UDP-TIMING(12522): 73 0 -0.487784000
D/UDP-TIMING(12522): 74 0 -0.488646000
D/UDP-TIMING(12522): 75 0 -0.488782000
D/UDP-TIMING(12522): 76 0 -0.485683000
D/UDP-TIMING(12522): 77 0 -0.486059000
D/UDP-TIMING(12522): 78 0 -0.487531000
D/UDP-TIMING(12522): 79 0 -0.487741000
D/UDP-TIMING(12522): 80 0 -0.488080000
D/UDP-TIMING(12522): 81 0 -0.485787000
D/UDP-TIMING(12522): 82 0 -0.488035000
D/UDP-TIMING(12522): 83 0 -0.488232000
D/UDP-TIMING(12522): 84 0 -0.488171000
D/UDP-TIMING(12522): 85 0 -0.488888000
D/UDP-TIMING(12522): 86 0 -0.488053000
D/UDP-TIMING(12522): 87 0 -0.488178000
D/UDP-TIMING(12522): 88 0 -0.488335000
D/UDP-TIMING(12522): 89 0 -0.487417000
D/UDP-TIMING(12522): 90 0 -0.486972000
D/UDP-TIMING(12522): 91 0 -0.487061000
D/UDP-TIMING(12522): 92 0 -0.487794000
D/UDP-TIMING(12522): 93 0 -0.488938000
D/UDP-TIMING(12522): 94 0 -0.488049000
D/UDP-TIMING(12522): 95 0 -0.488258000
D/UDP-TIMING(12522): 96 0 -0.487815000
D/UDP-TIMING(12522): 97 0 -0.488574000
D/UDP-TIMING(12522): 98 0 -0.487699000
D/UDP-TIMING(12522): 99 0 -0.478142000
D/UDP-TIMING(12522): 100 0 -0.482031000
